id;name;description;priority;is_active;conditions;actions;notify_users;match_count;last_match_date;created_by;created_date;last_modified_date
1;huzzah;../fake-data/blob/hipster.txt;15688;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;17936;2025-12-29T20:00:03;acclaimed whose;2025-12-29T08:16:23;2025-12-29T18:30:54
2;silently;../fake-data/blob/hipster.txt;25864;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6107;2025-12-30T03:40:45;commercial though versus;2025-12-29T18:53:09;2025-12-29T19:50:27
3;tackle attribute delightfully;../fake-data/blob/hipster.txt;13135;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2826;2025-12-29T17:23:53;gah even;2025-12-29T20:42:48;2025-12-29T19:38:25
4;as;../fake-data/blob/hipster.txt;7424;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13045;2025-12-29T11:38:11;although;2025-12-29T19:03:05;2025-12-29T12:35:53
5;wherever eyebrow actual;../fake-data/blob/hipster.txt;26876;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;14585;2025-12-29T13:26:20;coil agitated;2025-12-29T23:08:08;2025-12-29T18:50:46
6;consequently a;../fake-data/blob/hipster.txt;8528;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8345;2025-12-29T22:41:00;fat oof;2025-12-30T05:18:48;2025-12-29T11:00:05
7;unimpressively intermix anenst;../fake-data/blob/hipster.txt;19476;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11910;2025-12-29T09:55:57;irritably short rim;2025-12-29T19:19:22;2025-12-30T00:48:56
8;besmirch sport mesh;../fake-data/blob/hipster.txt;18357;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32330;2025-12-29T18:16:35;truthfully;2025-12-29T18:33:24;2025-12-30T05:31:52
9;furthermore;../fake-data/blob/hipster.txt;31104;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;21823;2025-12-29T14:57:03;gum;2025-12-29T09:30:59;2025-12-29T23:03:08
10;before;../fake-data/blob/hipster.txt;3798;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;6507;2025-12-30T02:03:01;substitution;2025-12-29T23:23:48;2025-12-30T04:32:54
