id;document_sha_256;s_3_key;extracted_text;extracted_text_sha_256;status;model_version;result_cache_key;is_cached;start_date;end_date;error_message;created_date
1;ack gee;since as;../fake-data/blob/hipster.txt;past;FAILED;spherical;supposing major responsible;true;2025-12-30T02:39:27;2025-12-29T22:40:57;../fake-data/blob/hipster.txt;2025-12-30T06:14:31
2;endow sandbar large;fall than out;../fake-data/blob/hipster.txt;sting how majestic;CANCELLED;overconfidently;responsibility closely;false;2025-12-30T00:55:17;2025-12-29T21:47:20;../fake-data/blob/hipster.txt;2025-12-29T18:02:02
3;judgementally ceramics;pish duh ham;../fake-data/blob/hipster.txt;writ boo inasmuch;FAILED;helplessly although splay;flashy;false;2025-12-29T16:38:00;2025-12-29T16:03:34;../fake-data/blob/hipster.txt;2025-12-29T13:17:01
4;velocity boyfriend;even;../fake-data/blob/hipster.txt;devise adviser;PENDING;cap fooey both;where um apud;true;2025-12-30T01:30:11;2025-12-29T19:25:13;../fake-data/blob/hipster.txt;2025-12-29T12:23:28
5;gut;ingratiate grouchy;../fake-data/blob/hipster.txt;shabby majestically gadzooks;PENDING;plus by tremendously;mushy optimistically;false;2025-12-30T00:06:20;2025-12-29T18:47:28;../fake-data/blob/hipster.txt;2025-12-30T03:04:40
6;of;amidst;../fake-data/blob/hipster.txt;fuss;IN_PROGRESS;meh;selfishly dimly;false;2025-12-29T20:59:40;2025-12-30T05:03:47;../fake-data/blob/hipster.txt;2025-12-29T08:09:58
7;wasteful gadzooks darn;mid;../fake-data/blob/hipster.txt;so stall;IN_PROGRESS;worth meager yowza;sorrowful about;true;2025-12-29T21:03:05;2025-12-29T08:31:49;../fake-data/blob/hipster.txt;2025-12-29T15:43:25
8;between solemnly;inconsequential daily;../fake-data/blob/hipster.txt;keel quaintly dish;CANCELLED;assist;ferociously during gah;false;2025-12-29T20:10:15;2025-12-30T01:58:59;../fake-data/blob/hipster.txt;2025-12-29T16:30:31
9;as ouch;masquerade;../fake-data/blob/hipster.txt;worst ah;PENDING;as in misappropriate;mmm;false;2025-12-29T12:46:24;2025-12-29T09:09:13;../fake-data/blob/hipster.txt;2025-12-29T06:55:59
10;unless pfft sophisticated;ha;../fake-data/blob/hipster.txt;fuss whether opposite;CANCELLED;swiftly exalt;overreact yippee since;true;2025-12-29T07:35:19;2025-12-29T14:32:05;../fake-data/blob/hipster.txt;2025-12-29T11:53:42
