id;cache_key;input_sha_256;ai_provider;ai_model;operation;input_data;result_data;s_3_result_key;confidence;metadata;hits;cost;last_access_date;created_date;expiration_date
1;perspire certainly;reckon quixotic rim;hm broadside searchingly;glow if;excluding fatally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;empty fence;0.25;../fake-data/blob/hipster.txt;30336;29270.14;2025-12-24T17:44:42;2025-12-25T06:45:08;2025-12-24T16:56:15
2;duh voluminous simple;yet oof;oof modulo;supposing scram oddball;skeletal woot minus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bleak above including;0.09;../fake-data/blob/hipster.txt;19487;12773.92;2025-12-25T06:25:28;2025-12-25T02:09:18;2025-12-25T04:33:52
3;translation um;pleasure;although finally penalise;scramble hmph;oh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reiterate for;0.76;../fake-data/blob/hipster.txt;27332;11557.83;2025-12-24T12:35:49;2025-12-24T21:40:19;2025-12-25T09:15:50
4;gadzooks;fashion aha;against brightly rosy;weakly since;supportive meanwhile snack;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;glass woot;0.05;../fake-data/blob/hipster.txt;20798;13494.89;2025-12-24T21:25:53;2025-12-25T08:05:37;2025-12-24T21:53:57
5;mockingly;badly ugh woot;tremendously lay boohoo;cheerfully haul;courageously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oh;0.19;../fake-data/blob/hipster.txt;14817;1338.58;2025-12-24T20:03:36;2025-12-25T04:02:29;2025-12-25T06:17:29
6;ack mature scarily;however meh;versus until;arcade;entry institute save;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unwelcome millet;0;../fake-data/blob/hipster.txt;13942;3249.89;2025-12-24T17:10:35;2025-12-24T22:44:20;2025-12-24T10:58:26
7;elegantly brown;baseboard;aw cash disk;anenst;quintuple finally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;uncommon;0.91;../fake-data/blob/hipster.txt;15071;24139.63;2025-12-25T00:25:57;2025-12-24T21:16:14;2025-12-25T09:07:47
8;transcend thongs mmm;blindly after;pertinent segregate;during enthusiastically;times icy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;loftily harp adviser;0.86;../fake-data/blob/hipster.txt;16706;30740.3;2025-12-24T14:23:54;2025-12-25T09:34:40;2025-12-24T14:50:28
9;when;innocently sad capitalise;majestically;hence;productive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;space;0.19;../fake-data/blob/hipster.txt;2449;14842.71;2025-12-25T02:13:54;2025-12-25T08:55:55;2025-12-25T01:15:22
10;instead so or;frantically;once furthermore;questioningly gadzooks;joyously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;accredit;0.67;../fake-data/blob/hipster.txt;8850;30874.68;2025-12-24T20:53:55;2025-12-24T13:10:57;2025-12-24T19:57:52
