id;document_id;document_sha_256;s_3_key;extracted_text;extracted_text_sha_256;detected_language;language_confidence;status;model_version;result_cache_key;is_cached;start_date;end_date;error_message;confidence;created_date
1;2854;likewise victoriously;fake oh;../fake-data/blob/hipster.txt;gaseous unaccountably knowledgeable;antagonize;0.13;IN_PROGRESS;whereas to fluctuate;wherever ha inquisitively;true;2025-12-25T03:57:17;2025-12-25T02:55:37;../fake-data/blob/hipster.txt;0.28;2025-12-25T00:26:23
2;8495;however luck;next oof regarding;../fake-data/blob/hipster.txt;label;after thun;0.52;FAILED;ouch;writhing over softly;false;2025-12-25T05:05:38;2025-12-24T19:36:36;../fake-data/blob/hipster.txt;0.68;2025-12-24T23:54:56
3;17191;likewise and;upon;../fake-data/blob/hipster.txt;vivacious trivial;inquisitiv;0.95;PENDING;certification up offset;since;false;2025-12-24T14:50:35;2025-12-25T03:12:41;../fake-data/blob/hipster.txt;0.92;2025-12-25T05:08:30
4;23568;rebuke;poetry scaly;../fake-data/blob/hipster.txt;scholarship signature;doubtfully;0.47;COMPLETED;salty up massive;meanwhile broken yahoo;true;2025-12-24T16:02:11;2025-12-25T03:09:57;../fake-data/blob/hipster.txt;0.06;2025-12-25T06:14:12
5;18437;ashamed;cinder;../fake-data/blob/hipster.txt;because beyond;huzzah axe;0.57;CANCELLED;fraudster;competent;true;2025-12-24T14:45:07;2025-12-24T14:17:24;../fake-data/blob/hipster.txt;0.64;2025-12-24T12:21:55
6;29935;which commonly um;till geez till;../fake-data/blob/hipster.txt;wherever pearl baptise;darling;0.79;CANCELLED;overstay;alligator vaguely even;true;2025-12-24T13:53:11;2025-12-25T10:09:10;../fake-data/blob/hipster.txt;0.86;2025-12-24T11:56:53
7;29009;dispose whup;instead suspiciously gentle;../fake-data/blob/hipster.txt;lively oof;zowie;0.74;PENDING;putrid about case;gently amidst modulo;true;2025-12-24T20:08:23;2025-12-24T17:29:59;../fake-data/blob/hipster.txt;0.46;2025-12-25T03:42:44
8;31188;aha whack;pave strictly dearly;../fake-data/blob/hipster.txt;redound meaningfully;eek silk;0.76;PENDING;gah yippee cardboard;yet depute;false;2025-12-25T08:36:54;2025-12-24T12:08:14;../fake-data/blob/hipster.txt;0.72;2025-12-25T07:17:58
9;2027;drowse;barring made-up oof;../fake-data/blob/hipster.txt;rosin mad mmm;enormously;0.9;IN_PROGRESS;video neat;slime around;false;2025-12-24T21:42:35;2025-12-24T15:47:32;../fake-data/blob/hipster.txt;0.29;2025-12-24T11:36:26
10;23897;outfit manner;physical when ack;../fake-data/blob/hipster.txt;since;anesthetiz;0.96;PENDING;given wildly making;cauliflower tomography gee;true;2025-12-24T21:52:42;2025-12-25T07:27:03;../fake-data/blob/hipster.txt;0.82;2025-12-24T19:40:30
