id;document_id;document_sha_256;detected_language;confidence;detection_method;alternative_languages;text_sample;result_cache_key;is_cached;detected_date;model_version
1;15068;nervous;now;0.1;LANGDETECT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;overburden;false;2025-12-20T15:21:49;which regarding
2;4152;bah scarily;poorly tam;0.91;FASTTEXT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;brisk bah;true;2025-12-20T04:02:56;critical whoever how
3;18884;toward legal;polite;0.85;MANUAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;off;false;2025-12-20T04:47:40;even helplessly huzzah
4;15842;sadly heartfelt phooey;absent sli;0.32;FASTTEXT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fashion;false;2025-12-20T01:50:07;abacus
5;20320;rudely;until;0.69;FASTTEXT;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lest reckless interesting;true;2025-12-20T04:36:00;anenst
6;21475;excluding colonialism energetically;eternity m;0.61;TIKA;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;license tuba;true;2025-12-20T09:42:54;oh grave blindly
7;6103;aboard pro;exhaust;0.43;MANUAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;season than;false;2025-12-20T12:41:51;selfish westernize
8;26175;yahoo cod respray;circumfere;0.27;MANUAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;even whose upright;true;2025-12-19T16:09:47;dandelion
9;14712;yippee until safe;owlishly e;0.07;MANUAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aha;false;2025-12-20T03:49:32;basket who
10;5596;meanwhile hence because;queasily e;0.28;BERT_MULTILINGUAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;lightly eek bob;true;2025-12-20T02:49:35;than given now
