id;name;description;document_query;archive_format;compression_level;encryption_enabled;encryption_algorithm;password;s_3_archive_key;archive_sha_256;archive_size;document_count;status;start_date;end_date;error_message;created_by;created_date
1;which bar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;6;true;clearly hierarchy;within;aw strategy courageous;see;30337;29599;COMPLETED;2025-12-24T13:22:35;2025-12-24T20:19:48;../fake-data/blob/hipster.txt;like excitedly;2025-12-25T02:55:06
2;polite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;8;true;boss wide;woot zowie ignite;sour abnormally below;whoa lest;9470;4175;ARCHIVING;2025-12-24T15:59:03;2025-12-24T15:50:48;../fake-data/blob/hipster.txt;yet patiently;2025-12-25T01:37:22
3;that;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR;9;false;gosh keenly;even league;prickly sleepily;pale near;7170;19760;ARCHIVING;2025-12-25T01:05:26;2025-12-25T10:02:38;../fake-data/blob/hipster.txt;upright till clamor;2025-12-24T12:21:36
4;notwithstanding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;8;false;taxicab aw ick;trusty so drat;next;version acquire;29225;2614;FAILED;2025-12-24T18:15:04;2025-12-25T08:35:14;../fake-data/blob/hipster.txt;pace;2025-12-25T01:55:48
5;chunder;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;6;false;till;outside yuck;bar;talkative;22544;10292;ARCHIVING;2025-12-25T01:47:38;2025-12-24T13:44:05;../fake-data/blob/hipster.txt;incinerate if beneath;2025-12-24T13:28:39
6;how apropos;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_BZ2;5;true;if procurement athwart;yum sleepily;book;thyme yieldingly;688;30051;PENDING;2025-12-24T23:30:45;2025-12-24T16:37:23;../fake-data/blob/hipster.txt;upliftingly blah;2025-12-24T16:28:50
7;circumference;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_BZ2;0;false;gosh off alongside;legging;airman aw;till;12386;28103;FAILED;2025-12-24T23:37:09;2025-12-25T06:45:20;../fake-data/blob/hipster.txt;longingly;2025-12-24T12:27:47
8;concerning retrospectivity;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;5;false;heavy arbitrate pish;wherever;woot likewise;as;14800;31987;PENDING;2025-12-24T12:07:53;2025-12-25T05:03:50;../fake-data/blob/hipster.txt;exactly aw;2025-12-24T22:36:00
9;than;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;6;false;under caring;qua;supposing including;yarmulke;10578;16035;COMPLETED;2025-12-24T13:57:00;2025-12-24T14:35:27;../fake-data/blob/hipster.txt;loosely qualified;2025-12-25T03:01:08
10;fully ugh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;8;true;lest machine;pupil prejudge psst;once that;yet;30705;14541;FAILED;2025-12-24T14:00:05;2025-12-25T07:52:25;../fake-data/blob/hipster.txt;dead fabricate upside-down;2025-12-25T05:08:56
