id;statement_id;transaction_date;description;debit_amount;credit_amount;balance;is_reconciled;statement_id
1;31355;2025-12-19;fantastic zesty retention;28839.95;10733.84;15111.27;true;1
2;11326;2025-12-20;manner;24571.4;25162.86;7840.33;false;2
3;26065;2025-12-19;waist;11043.42;21329.98;17174.71;true;3
4;28574;2025-12-19;analyse throughout;17039.06;10372.16;16750.01;false;4
5;1791;2025-12-20;hopelessly;1705.12;10006.07;27752.35;false;5
6;8766;2025-12-19;woeful hastily;7314.68;22618.93;647.16;true;6
7;24104;2025-12-19;bah duh solder;9892.91;31129.88;19889.04;true;7
8;6477;2025-12-20;so vain for;5535.08;11999.22;10837.8;true;8
9;25517;2025-12-20;bah;12610.59;20453.89;27024.09;false;9
10;3093;2025-12-20;idle pfft beneath;2334.4;23435.09;23647.46;true;10
