id;contract_id;clause_number;title;content;clause_type;is_mandatory;contract_id
1;27685;while;yahoo council;../fake-data/blob/hipster.txt;PAYMENT;false;1
2;11409;extremely pace verify;yippee unnaturally blah;../fake-data/blob/hipster.txt;TERMINATION;false;2
3;4843;weight;below membership likewise;../fake-data/blob/hipster.txt;GENERAL;true;3
4;24369;closely;able;../fake-data/blob/hipster.txt;INTELLECTUAL_PROPERTY;true;4
5;31598;unnaturally lace;obligation qua;../fake-data/blob/hipster.txt;GENERAL;true;5
6;9767;beautifully angle off;yawningly even mmm;../fake-data/blob/hipster.txt;GENERAL;false;6
7;2929;outrun;finally kiss;../fake-data/blob/hipster.txt;FORCE_MAJEURE;false;7
8;15168;shark jubilant until;toward zealous unhappy;../fake-data/blob/hipster.txt;WARRANTY;true;8
9;27784;than truly;switchboard;../fake-data/blob/hipster.txt;AMENDMENT;false;9
10;9826;all phooey marathon;keenly;../fake-data/blob/hipster.txt;GENERAL;false;10
