id;document_id;invoice_number;invoice_type;supplier_name;customer_name;issue_date;due_date;payment_date;total_amount_excl_tax;tax_amount;total_amount_incl_tax;currency;status;payment_method;created_date
1;30018;worse;SALES;psst;casement how coordinated;2025-12-24;2025-12-24;2025-12-24;29043.01;7201.67;9253.35;now;SENT;PAYPAL;2025-12-24T18:36:46
2;19107;insistent fast;PURCHASE;separately;till;2025-12-24;2025-12-24;2025-12-25;12135.95;10721.7;9273.7;bap;CANCELLED;WIRE_TRANSFER;2025-12-24T13:37:33
3;32314;coal;SALES;sturdy ribbon out;freezing on grade;2025-12-25;2025-12-25;2025-12-24;15266.69;7877.9;26548.08;tan;APPROVED;PAYPAL;2025-12-24T22:05:22
4;1543;bind offensively;SALES;forenenst for soon;statue oof;2025-12-24;2025-12-24;2025-12-25;4628.09;12099.43;5363.55;fol;DRAFT;CHECK;2025-12-25T01:52:55
5;26846;however;DEBIT_NOTE;greedily despite;afore gladly;2025-12-24;2025-12-24;2025-12-24;31331.43;19943.13;5719.44;whi;PENDING_APPROVAL;CASH;2025-12-24T11:17:44
6;32371;excluding;SALES;on;meanwhile behind beneath;2025-12-25;2025-12-25;2025-12-24;12015.93;30906.91;21207.24;oce;CANCELLED;PAYPAL;2025-12-25T09:24:37
7;9299;thrifty;DEBIT_NOTE;now;huzzah before;2025-12-24;2025-12-24;2025-12-24;16810.97;27237.58;6098.78;big;CANCELLED;CASH;2025-12-25T04:23:54
8;20466;ha horse since;PURCHASE;during unknown past;consequently wonderfully;2025-12-24;2025-12-24;2025-12-25;16259.86;17932.72;26002.53;unt;PENDING_APPROVAL;CASH;2025-12-25T02:36:29
9;3208;interviewer;DEBIT_NOTE;yawningly violently openly;mid;2025-12-24;2025-12-24;2025-12-24;2808.6;11834.42;21548.6;wel;PENDING_APPROVAL;CASH;2025-12-24T17:41:53
10;639;whenever gadzooks;PROFORMA;unless;how opposite;2025-12-24;2025-12-24;2025-12-25;31280.89;21782.86;11037.66;pro;PARTIALLY_PAID;OTHER;2025-12-25T05:49:21
