id;invoice_id;line_number;description;quantity;unit_price;tax_rate;total_amount_excl_tax;invoice_id
1;8955;1629;after because casement;3896.62;8996.38;176.39;7804.3;1
2;3257;186;whack innocently transplant;18317.12;30313.88;31047.54;31434.68;2
3;6454;27387;darn scarper agile;14258.38;31791.71;7241.59;9358.36;3
4;21153;23603;blah under;27233.96;2046.51;9593.54;28197.17;4
5;30178;17086;whenever;30341.26;26525.93;10162.13;20508.4;5
6;13425;1104;where gummy oof;16484.29;11950.8;31007.66;7711.83;6
7;24889;17594;phooey overdue intensely;32483.09;10531.88;14611.1;1617.52;7
8;23074;9056;irritably;1018.39;687.67;12224.07;5975.26;8
9;4007;24023;dandelion eek;24232.17;30772.45;12643.53;22608.87;9
10;29682;22166;er;30834.24;7228.63;10323.06;15408.83;10
