id;document_id;title;manual_type;version;language;publication_date;page_count;status;is_public;created_date
1;23726;what wherever;PROCEDURE;tapioca where;upright as;2025-12-25;31471;APPROVED;true;2025-12-25T04:11:58
2;11176;except if;TRAINING_MATERIAL;tag;judgementa;2025-12-25;31083;REVIEW;false;2025-12-24T22:12:35
3;31034;miserly;PROCEDURE;uncover;duh oil wh;2025-12-25;30381;REVIEW;false;2025-12-25T05:45:11
4;21878;gee off;POLICY_DOCUMENT;times terribly stool;ugh;2025-12-25;10329;PUBLISHED;true;2025-12-25T03:04:35
5;18416;onset hexagon circa;MAINTENANCE_GUIDE;yearningly pro;more;2025-12-25;11304;APPROVED;true;2025-12-24T22:15:16
6;31038;traffic;INSTALLATION_GUIDE;woot psst;dull;2025-12-24;9894;REVIEW;true;2025-12-25T08:28:27
7;5459;tail queasily;POLICY_DOCUMENT;restaurant tangible catalyze;ugh shimme;2025-12-24;7197;DRAFT;false;2025-12-24T20:41:01
8;10594;now commonly;TECHNICAL_MANUAL;physically cinch pull;complete y;2025-12-25;6289;PUBLISHED;true;2025-12-24T15:29:58
9;12675;tuber ew;USER_MANUAL;pro;aside;2025-12-25;10236;OBSOLETE;true;2025-12-24T20:13:24
10;19625;preheat psst;INSTALLATION_GUIDE;grouper;yippee lim;2025-12-25;3883;REVIEW;false;2025-12-25T09:02:20
