id;manual_id;chapter_number;title;content;page_start;page_end;level;display_order;manual_id
1;26570;among that gee;intensely needily wedge;../fake-data/blob/hipster.txt;10831;23100;32364;3689;1
2;30940;furthermore;um;../fake-data/blob/hipster.txt;8126;20179;4061;18371;2
3;3988;disposer;quick-witted lively;../fake-data/blob/hipster.txt;24197;9964;32032;11664;3
4;20107;savour;beside;../fake-data/blob/hipster.txt;11668;18919;12290;3471;4
5;22899;frightfully under;hyena brr crumble;../fake-data/blob/hipster.txt;19065;13089;6206;25160;5
6;20646;mantua;between failing;../fake-data/blob/hipster.txt;9364;22920;14981;26922;6
7;31477;injunction bah ick;little;../fake-data/blob/hipster.txt;21553;7383;21484;29807;7
8;1587;lest;wretched ectoderm;../fake-data/blob/hipster.txt;22414;13818;8771;17130;8
9;3546;quietly acidly;weep very ouch;../fake-data/blob/hipster.txt;25955;26834;12443;20325;9
10;8958;colorfully;apud;../fake-data/blob/hipster.txt;3482;8134;31697;22869;10
