id;field_key;field_value;confidence;extraction_method;is_verified;extracted_date
1;remand swing;../fake-data/blob/hipster.txt;0.94;AI_MODEL;false;2025-12-30T00:33:11
2;searchingly decouple shabby;../fake-data/blob/hipster.txt;0.94;MANUAL;true;2025-12-29T09:26:01
3;meanwhile unethically;../fake-data/blob/hipster.txt;0.95;TEMPLATE_MATCHING;true;2025-12-30T04:26:44
4;unit;../fake-data/blob/hipster.txt;0.17;AI_MODEL;false;2025-12-29T15:59:45
5;um frenetically;../fake-data/blob/hipster.txt;0.52;QR_CODE;false;2025-12-29T21:30:07
6;bandwidth;../fake-data/blob/hipster.txt;0.31;NLP;false;2025-12-29T23:19:29
7;pfft upon;../fake-data/blob/hipster.txt;0.05;REGEX;true;2025-12-29T23:21:34
8;beside queasy dishearten;../fake-data/blob/hipster.txt;0.48;QR_CODE;false;2025-12-30T01:24:44
9;yowza clumsy whoa;../fake-data/blob/hipster.txt;0.13;AI_MODEL;false;2025-12-29T22:21:53
10;jeopardise exactly huff;../fake-data/blob/hipster.txt;0.2;OCR;false;2025-12-30T02:01:12
