id;key;value;data_type;is_searchable;created_date;document_id
1;wordy innocently anesthetize;../fake-data/blob/hipster.txt;DECIMAL;true;2025-12-25T06:06:23;1
2;unnaturally;../fake-data/blob/hipster.txt;PERCENTAGE;false;2025-12-25T00:37:36;2
3;eek whoa;../fake-data/blob/hipster.txt;NUMBER;true;2025-12-25T07:46:30;3
4;metabolise brightly;../fake-data/blob/hipster.txt;JSON;true;2025-12-25T09:08:53;4
5;deficient;../fake-data/blob/hipster.txt;PERCENTAGE;false;2025-12-25T04:36:28;5
6;of since annual;../fake-data/blob/hipster.txt;DATE;true;2025-12-25T08:20:51;6
7;haul;../fake-data/blob/hipster.txt;STRING;true;2025-12-25T03:57:31;7
8;greatly anenst;../fake-data/blob/hipster.txt;PERCENTAGE;true;2025-12-24T22:13:41;8
9;given;../fake-data/blob/hipster.txt;PHONE;true;2025-12-25T10:26:42;9
10;regularly hm compassionate;../fake-data/blob/hipster.txt;PHONE;true;2025-12-25T09:02:37;10
