id;source_document_id;target_document_id;relation_type;created_by;created_date
1;29570;8014;SUPPLEMENTS;unnecessarily unaccountably;2025-12-24T15:05:39
2;19914;10746;RELATED_TO;coast phooey during;2025-12-24T20:26:57
3;24353;18642;HAS_ATTACHMENT;cheerfully slink;2025-12-24T21:42:23
4;16858;14003;ORIGINAL_OF;barge zowie brave;2025-12-24T21:26:23
5;15908;24036;REPLACED_BY;pale bustling;2025-12-24T19:49:54
6;32217;19332;VERSION_OF;collectivization dense;2025-12-25T02:35:40
7;22466;13037;ORIGINAL_OF;minus quixotic for;2025-12-24T20:30:14
8;23371;20413;COPY_OF;pleasing place ah;2025-12-25T08:11:01
9;165;25139;SUPPLEMENTED_BY;since near;2025-12-24T23:20:06
10;26961;28154;COPY_OF;experienced consequently;2025-12-25T02:43:31
