id;document_id;views_total;downloads_total;unique_viewers;last_updated
1;13278;10495;32286;11414;2025-12-20T09:44:42
2;6597;23752;31008;28416;2025-12-19T22:54:12
3;30410;20381;19332;14407;2025-12-19T18:13:39
4;15156;4723;5008;3368;2025-12-20T09:05:28
5;17054;29438;24905;27313;2025-12-19T17:51:30
6;1439;26639;6599;15301;2025-12-19T18:58:43
7;7156;19897;28280;28871;2025-12-20T11:07:39
8;28511;23122;9223;17165;2025-12-20T03:42:31
9;23498;105;12593;11466;2025-12-19T20:20:08
10;31533;3936;11491;6725;2025-12-19T19:50:16
