id;name;code;icon;color;is_active;created_date;created_by
1;climb lest an;shoulder even;technologist lawmaker;blue;true;2025-12-30T01:26:20;ignorance
2;properly unfit behind;hmph anti definitive;um hence;magenta;true;2025-12-30T06:28:12;huzzah
3;yuck thorny upbeat;meanwhile;paltry;orange;false;2025-12-29T12:38:08;immediately clearly
4;old-fashioned out;after once;anti;lime;true;2025-12-29T17:51:38;um
5;off familiarize;wetly;opposite tooth;silver;true;2025-12-29T15:42:55;meal goat when
6;anxiously;since;scope;silver;false;2025-12-29T07:42:00;abandoned yearningly
7;demonstrate;unless intervention approach;righteously amidst;violet;false;2025-12-30T04:19:20;weight irritably upset
8;down;zowie now;alongside;gold;true;2025-12-29T20:26:31;better gah white
9;serialize married;helplessly acclaimed discourse;cautiously;silver;true;2025-12-29T19:48:48;amongst
10;whereas essence canter;coin;ew old-fashioned incidentally;sky blu;true;2025-12-29T19:26:22;vaguely
