id;field_key;field_label;data_type;is_required;is_searchable;created_date
1;for amidst aboard;gray;PHONE;false;false;2025-12-24T20:26:37
2;while;hence ouch;INTEGER;false;true;2025-12-24T17:41:53
3;mobility round despite;yowza;BOOLEAN;true;true;2025-12-24T13:11:32
4;modulo;yuck scare;DATE;false;true;2025-12-24T11:13:51
5;emphasize gosh;ferociously near;PERCENTAGE;false;false;2025-12-25T01:15:33
6;which since;er unless;DATE;true;false;2025-12-25T10:22:09
7;coal tremendously;captain ramp notwithstanding;STRING;true;false;2025-12-25T07:39:11
8;density;up fondly ugh;URL;false;true;2025-12-25T07:29:03
9;on yuck given;provided naturally which;DATE;false;false;2025-12-24T15:54:46
10;upright whereas summary;lively;DATETIME;false;false;2025-12-24T16:21:37
