id;document_id;field_key;field_value;confidence;extraction_method;is_verified;extracted_date
1;25284;tinderbox;../fake-data/blob/hipster.txt;0.11;REGEX;false;2025-12-25T00:46:21
2;24511;ugh;../fake-data/blob/hipster.txt;0.17;MANUAL;true;2025-12-25T04:59:25
3;18242;gah whoever qua;../fake-data/blob/hipster.txt;0.71;AI_MODEL;false;2025-12-24T18:38:51
4;28114;um junior hovercraft;../fake-data/blob/hipster.txt;0.52;BARCODE;false;2025-12-25T05:30:18
5;31498;aha more;../fake-data/blob/hipster.txt;0.91;MANUAL;false;2025-12-24T13:08:02
6;3111;scorn venture;../fake-data/blob/hipster.txt;0.74;REGEX;true;2025-12-25T09:19:23
7;13696;discontinue testing hence;../fake-data/blob/hipster.txt;0.6;OCR;false;2025-12-25T05:32:14
8;14767;omelet;../fake-data/blob/hipster.txt;0.24;BARCODE;false;2025-12-24T17:28:25
9;7274;slap but;../fake-data/blob/hipster.txt;0.27;MANUAL;false;2025-12-25T01:24:10
10;18439;comparison once;../fake-data/blob/hipster.txt;0.92;AI_MODEL;true;2025-12-24T23:36:50
