id;name;description;path;is_shared;created_date;created_by
1;healthily haversack;../fake-data/blob/hipster.txt;since solidly;false;2025-12-20T04:16:32;pfft
2;absentmindedly;../fake-data/blob/hipster.txt;and zowie;true;2025-12-20T10:50:01;normal
3;though substantiate burly;../fake-data/blob/hipster.txt;confide french stint;false;2025-12-19T20:37:43;until vivaciously dally
4;underneath;../fake-data/blob/hipster.txt;phew;true;2025-12-19T21:15:15;intently hidden
5;yuck;../fake-data/blob/hipster.txt;along whose whoever;true;2025-12-19T18:54:34;anxiously bench
6;yum;../fake-data/blob/hipster.txt;lovingly or competent;true;2025-12-20T07:24:43;broadly
7;psst;../fake-data/blob/hipster.txt;upbeat supposing;true;2025-12-20T13:32:57;dash instead
8;quizzically sternly;../fake-data/blob/hipster.txt;as;false;2025-12-19T23:55:06;afore when yet
9;conclude stratify slow;../fake-data/blob/hipster.txt;strong;true;2025-12-19T16:50:58;around
10;obstruct since psst;../fake-data/blob/hipster.txt;where underneath;true;2025-12-19T18:39:41;blah
