id;name;color;display_order;is_system;created_date;created_by
1;industrialize;turquoi;9008;false;2025-12-29T16:24:18;across
2;neglect;tan;30843;true;2025-12-29T18:17:14;sizzling whoever
3;far boggle save;lime;707;false;2025-12-29T08:53:12;fictionalize righteously meanwhile
4;going;red;31260;true;2025-12-29T19:32:16;bah passionate
5;emotional darn disclosure;sky blu;8265;false;2025-12-30T02:45:45;gah
6;unlucky misread;fuchsia;18440;true;2025-12-29T14:41:33;championship than up
7;harangue neatly;tan;28299;false;2025-12-29T19:06:48;triumphantly
8;oof gee planula;lavende;20569;false;2025-12-29T13:14:53;decriminalize overstay whereas
9;anesthetize knowledgeably;green;12215;false;2025-12-29T20:20:58;consequently woot
10;octave excepting;orchid;19950;true;2025-12-30T05:25:46;instantly
