id;name;permissions;is_system;created_date;created_by
1;ack riser;../fake-data/blob/hipster.txt;false;2025-12-29T15:22:54;certification quit verve
2;except;../fake-data/blob/hipster.txt;true;2025-12-29T21:14:47;yowza
3;assured;../fake-data/blob/hipster.txt;false;2025-12-29T16:16:45;than rigidly
4;drat;../fake-data/blob/hipster.txt;true;2025-12-30T02:59:31;but vainly
5;zany;../fake-data/blob/hipster.txt;true;2025-12-30T03:16:35;though
6;waterlogged;../fake-data/blob/hipster.txt;true;2025-12-29T11:59:05;solution
7;nor department;../fake-data/blob/hipster.txt;false;2025-12-29T09:41:21;and
8;for;../fake-data/blob/hipster.txt;false;2025-12-29T15:39:09;overconfidently ick
9;slip questionable ah;../fake-data/blob/hipster.txt;true;2025-12-30T02:27:15;stabilise brr off
10;cram about coexist;../fake-data/blob/hipster.txt;true;2025-12-30T03:11:27;multicolored lava
