id;name;permissions;is_system;created_date;created_by
1;brr;../fake-data/blob/hipster.txt;true;2025-12-24T20:37:14;willow geez
2;pointless ugh frequent;../fake-data/blob/hipster.txt;true;2025-12-24T19:18:52;regularly vanish wisely
3;puppet eek;../fake-data/blob/hipster.txt;false;2025-12-24T17:59:37;beside
4;avow;../fake-data/blob/hipster.txt;false;2025-12-24T16:03:44;hmph councilman noisily
5;quaintly scrap reproachfully;../fake-data/blob/hipster.txt;false;2025-12-24T11:38:35;creator
6;jagged gym in;../fake-data/blob/hipster.txt;true;2025-12-25T06:09:35;woot
7;yearn flimsy;../fake-data/blob/hipster.txt;false;2025-12-24T14:14:38;gee marvelous basic
8;critical;../fake-data/blob/hipster.txt;true;2025-12-25T02:49:47;vestment pike
9;behind;../fake-data/blob/hipster.txt;true;2025-12-25T02:01:04;uh-huh gosh yowza
10;amidst rust oof;../fake-data/blob/hipster.txt;false;2025-12-24T18:37:11;yum
