id;name;query;is_public;is_alert;alert_frequency;user_id;created_date
1;tense anti recommendation;../fake-data/blob/hipster.txt;false;false;MONTHLY;excited;2025-12-19T16:59:08
2;lend lampoon valentine;../fake-data/blob/hipster.txt;true;false;NEVER;galoshes mockingly underplay;2025-12-20T02:18:13
3;phooey reboot;../fake-data/blob/hipster.txt;true;false;MONTHLY;upbeat customise sweetly;2025-12-19T21:26:40
4;minor demob;../fake-data/blob/hipster.txt;true;true;WEEKLY;implode mean;2025-12-19T21:34:34
5;shyly lest;../fake-data/blob/hipster.txt;false;false;WEEKLY;ultimate kiddingly;2025-12-19T17:52:09
6;fit vibration reorganisation;../fake-data/blob/hipster.txt;false;true;IMMEDIATELY;following;2025-12-20T09:28:20
7;claw;../fake-data/blob/hipster.txt;false;false;WEEKLY;boo;2025-12-20T07:28:47
8;evince hm;../fake-data/blob/hipster.txt;false;true;MONTHLY;wealthy because;2025-12-19T15:49:26
9;determined;../fake-data/blob/hipster.txt;false;true;HOURLY;when gradient;2025-12-20T03:40:01
10;prime boo ick;../fake-data/blob/hipster.txt;false;true;NEVER;lyre;2025-12-19T20:24:01
