id;name;query_json;auto_refresh;is_public;created_by;created_date
1;gosh labourer modulo;../fake-data/blob/hipster.txt;true;false;via yahoo;2025-12-20T09:59:10
2;voluntarily uniform since;../fake-data/blob/hipster.txt;false;false;massage;2025-12-19T23:44:08
3;unabashedly lest follower;../fake-data/blob/hipster.txt;true;false;promptly;2025-12-20T08:56:52
4;perfectly boohoo;../fake-data/blob/hipster.txt;false;false;custody whoa ha;2025-12-19T22:10:54
5;amongst likewise;../fake-data/blob/hipster.txt;false;true;um rigid towards;2025-12-20T08:23:31
6;forgather;../fake-data/blob/hipster.txt;true;true;ignorance roasted;2025-12-19T23:34:56
7;mouser;../fake-data/blob/hipster.txt;false;true;regular aware;2025-12-20T10:30:58
8;married oh progress;../fake-data/blob/hipster.txt;false;true;hope owlishly;2025-12-20T11:48:46
9;pink folklore;../fake-data/blob/hipster.txt;true;false;tidy;2025-12-19T18:59:34
10;indeed;../fake-data/blob/hipster.txt;false;true;geez;2025-12-19T16:27:09
