id;name;color;description;usage_count;is_system;created_date;created_by
1;enlist helplessly whoever;yellow;er contrast outdo;24049;false;2025-12-25T08:18:58;cruelly
2;curl;gold;than contrast deliberately;1708;false;2025-12-24T16:41:02;aha duster
3;enthusiastically;orchid;underneath;29970;false;2025-12-25T09:26:39;kiddingly serene
4;merrily thick;olive;excepting;26177;false;2025-12-25T03:27:47;reboot
5;midst provided;indigo;uh-huh hourly;17350;false;2025-12-24T21:50:00;when
6;pish;yellow;phooey electrify yeast;3708;false;2025-12-25T03:23:38;barring
7;uh-huh;ivory;round suckle happily;32398;false;2025-12-24T12:27:07;phew worth runny
8;bossy incidentally than;indigo;reporter reluctantly sunbathe;32037;false;2025-12-24T17:33:45;loyalty buzzing judgementally
9;fold colligate;gold;sizzling keenly and;19517;true;2025-12-25T03:25:40;huzzah
10;pepper aw;gold;than queasy swill;26348;true;2025-12-24T21:36:40;intensely
