id;name;color;display_order;is_system;created_date;created_by
1;warmhearted whose always;white;8365;true;2025-12-20T03:55:38;ad molasses fake
2;wide;cyan;14263;true;2025-12-20T09:50:20;lovable because
3;favorite hospitalization;sky blu;12452;true;2025-12-20T02:24:12;concerning yet
4;sans uh-huh ah;gold;2366;false;2025-12-20T06:41:11;apropos
5;generously gah;yellow;30421;true;2025-12-20T12:31:12;quizzically postbox utterly
6;once;green;10728;true;2025-12-19T22:32:25;dearest authentic
7;yet haircut;turquoi;11657;true;2025-12-20T09:14:58;with without ouch
8;whoa uselessly;olive;17116;false;2025-12-19T22:31:55;lazily cappelletti
9;inside likewise season;teal;22320;false;2025-12-20T13:38:49;qua
10;headline;maroon;31183;true;2025-12-19T20:07:34;onto
