id;from_email;to_email;subject;body;body_html;received_date;processed_date;status;folder_id;document_type_id;attachment_count;documents_created;applied_rule_id;error_message;metadata
1;er hutch characterization;vulgarise;before;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T18:50:32;2025-12-19T21:45:30;COMPLETED;20645;21045;1867;16092;11036;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;across thoroughly;evil quirkily while;tensely;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T23:27:16;2025-12-20T01:33:04;PARTIAL;8904;18186;20830;8221;8058;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;ew carouse;despite minus feather;deprave;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T19:54:14;2025-12-20T09:14:24;PENDING;9314;26101;20204;22627;19453;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;while stay divert;brown galoshes;aside owlishly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T23:31:40;2025-12-20T04:49:24;COMPLETED;20801;6715;18896;12094;15503;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;woot er;goat;consequently consequently;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T20:46:57;2025-12-20T01:11:12;PENDING;24538;3351;17524;12409;24938;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;inside;yawningly;bright madly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T08:38:41;2025-12-19T21:55:51;COMPLETED;8143;7333;8805;13683;6941;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;underneath secrecy than;powerfully;knavishly a;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T01:41:13;2025-12-20T12:43:05;PENDING;2133;5944;3851;11215;6032;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;mouser;ew unusual inasmuch;waterspout;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T15:26:38;2025-12-20T11:42:38;IGNORED;2222;5346;30473;7012;10755;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;case greedily artistic;barge sup;but;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-20T09:01:25;2025-12-19T15:50:09;IGNORED;32027;18329;17084;9483;27548;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;scarcely makeover;into failing;furthermore;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-19T18:43:05;2025-12-20T14:31:52;PARTIAL;14731;18955;22313;24957;30382;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
