id;name;description;priority;is_active;conditions;actions;folder_id;document_type_id;apply_tags;notify_users;match_count;last_match_date;created_by;created_date;last_modified_date
1;trusting whenever why;../fake-data/blob/hipster.txt;3176;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18918;300;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11945;2025-12-24T23:11:23;upliftingly;2025-12-25T09:32:14;2025-12-24T18:43:20
2;lest;../fake-data/blob/hipster.txt;10119;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;10714;24066;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;8217;2025-12-25T07:25:52;whether;2025-12-25T09:06:43;2025-12-24T12:21:10
3;haunting;../fake-data/blob/hipster.txt;12748;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;450;18568;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;19218;2025-12-25T05:49:18;round whereas;2025-12-24T14:48:57;2025-12-25T01:48:16
4;fence like holster;../fake-data/blob/hipster.txt;9248;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;25656;27034;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;5361;2025-12-25T07:01:17;archaeology exactly;2025-12-25T01:39:56;2025-12-24T17:32:07
5;pace pfft;../fake-data/blob/hipster.txt;29249;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;26765;12701;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;13708;2025-12-24T20:16:03;gracefully straw;2025-12-24T23:00:33;2025-12-25T01:43:23
6;cautiously down sans;../fake-data/blob/hipster.txt;26024;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;23335;31969;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;12942;2025-12-24T11:45:17;whether rejigger;2025-12-24T14:07:17;2025-12-25T07:27:43
7;ah;../fake-data/blob/hipster.txt;14492;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;16934;24424;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;18982;2025-12-24T15:28:12;yet gah armchair;2025-12-24T20:35:25;2025-12-25T09:00:01
8;gah or why;../fake-data/blob/hipster.txt;16386;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;11173;22601;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;17039;2025-12-24T12:43:00;whoa blaspheme;2025-12-24T16:16:41;2025-12-25T07:27:33
9;mantua;../fake-data/blob/hipster.txt;11197;false;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;1607;21483;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;23381;2025-12-24T21:16:11;briskly showboat or;2025-12-24T11:53:38;2025-12-24T17:58:41
10;elver;../fake-data/blob/hipster.txt;26568;true;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;19269;23975;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;32372;2025-12-25T01:30:53;daintily underneath aw;2025-12-24T22:15:30;2025-12-25T08:51:26
