id;name;description;document_query;export_format;include_metadata;include_versions;include_comments;include_audit_trail;s_3_export_key;export_size;document_count;files_generated;status;start_date;end_date;error_message;created_by;created_date
1;notwithstanding unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;false;true;false;true;deploy barring;5403;30532;30070;PENDING;2025-12-30T00:44:54;2025-12-29T13:40:31;../fake-data/blob/hipster.txt;aw;2025-12-29T13:35:34
2;miserly silently under;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PDF;true;false;true;false;pulverize towards acquaintance;17991;4722;11282;PENDING;2025-12-29T23:09:09;2025-12-29T13:04:07;../fake-data/blob/hipster.txt;with remand wherever;2025-12-30T04:31:31
3;clearly including;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;JSON_METADATA;false;false;true;false;rapid joy paralyse;8768;11420;8665;PARTIAL;2025-12-29T23:15:55;2025-12-30T03:20:09;../fake-data/blob/hipster.txt;nor;2025-12-29T21:27:32
4;alb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;FOLDER;true;true;false;true;pish miserably geez;19449;4336;31621;COMPLETED;2025-12-29T21:33:07;2025-12-29T10:14:51;../fake-data/blob/hipster.txt;bid till;2025-12-29T10:27:15
5;whale scrutinise;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;true;false;true;true;hm icebreaker;15673;16757;16196;EXPORTING;2025-12-30T06:07:27;2025-12-29T20:57:34;../fake-data/blob/hipster.txt;dim really;2025-12-29T21:33:20
6;that scent for;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PDF;true;true;true;true;for;32538;1165;2094;COMPLETED;2025-12-30T05:15:39;2025-12-29T19:41:29;../fake-data/blob/hipster.txt;trash needy;2025-12-29T21:04:44
7;upsell since about;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;JSON_METADATA;true;false;false;false;ouch;24004;10399;16904;COMPLETED;2025-12-30T02:15:12;2025-12-29T21:53:07;../fake-data/blob/hipster.txt;like physically mmm;2025-12-29T12:28:53
8;glum eek;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PDF_A;true;true;false;true;whoa as;4549;4226;30045;PARTIAL;2025-12-29T20:41:00;2025-12-30T04:51:08;../fake-data/blob/hipster.txt;nor stigmatize eyeliner;2025-12-30T03:33:05
9;faraway;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ORIGINAL;true;true;true;true;longingly square markup;14058;30918;9756;EXPORTING;2025-12-30T03:47:53;2025-12-29T09:23:42;../fake-data/blob/hipster.txt;impact;2025-12-29T23:43:59
10;ordinary times which;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;PDF_A;false;true;true;true;supposing quadruple gadzooks;19017;4040;32215;COMPLETED;2025-12-29T22:45:24;2025-12-29T07:02:49;../fake-data/blob/hipster.txt;unfortunately platter;2025-12-29T16:01:09
