id;name;description;path_template;file_name_template;variables;examples;is_system;is_active;usage_count;created_by;created_date;last_modified_date
1;pant dicker;../fake-data/blob/hipster.txt;mobilise;whether;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;7114;swath;2025-12-24T16:26:35;2025-12-25T08:58:10
2;promptly disappointment legislature;../fake-data/blob/hipster.txt;deprave careless;gosh even;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;28713;promptly polished;2025-12-25T10:10:05;2025-12-24T18:25:03
3;inferior;../fake-data/blob/hipster.txt;ugh yum;deduce yum;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;16249;disappointment yak;2025-12-25T04:57:00;2025-12-25T08:38:09
4;unnecessarily gosh;../fake-data/blob/hipster.txt;very around intend;though slimy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;18053;fooey meh who;2025-12-25T05:17:51;2025-12-24T17:55:17
5;boohoo;../fake-data/blob/hipster.txt;brr;importance because tomb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;25016;dredger searchingly innovation;2025-12-25T04:52:09;2025-12-24T22:46:34
6;famously;../fake-data/blob/hipster.txt;table ajar;zowie yet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;12147;encode gosh kindly;2025-12-24T23:30:08;2025-12-25T10:20:18
7;hollow;../fake-data/blob/hipster.txt;shy finally whoa;than geez ragged;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;28772;sheepishly recent;2025-12-24T12:16:08;2025-12-25T01:08:02
8;out;../fake-data/blob/hipster.txt;despite weary;surprisingly consequently nun;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;14084;unusual;2025-12-25T06:53:22;2025-12-25T04:28:04
9;woot when exempt;../fake-data/blob/hipster.txt;when;daily huge circa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;17278;gadzooks inhibit;2025-12-24T22:05:34;2025-12-24T21:53:56
10;anenst;../fake-data/blob/hipster.txt;limp anguished;when;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;12693;blissfully as rightfully;2025-12-24T17:15:28;2025-12-25T00:34:31
