id;cache_key;input_sha_256;ai_provider;ai_model;operation;input_data;result_data;s_3_result_key;confidence;metadata;hits;cost;last_access_date;created_date;expiration_date
1;accidentally;formula;structure mealy;tenderly busily clonk;fishery chatter especially;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;char questionably untried;0.42;../fake-data/blob/hipster.txt;22287;31707.26;2025-12-29T14:47:00;2025-12-29T08:24:54;2025-12-29T23:36:47
2;when;stunning foolishly;sunder;peony aha;generously onto wearily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;atop;0.79;../fake-data/blob/hipster.txt;17758;26881.04;2025-12-30T02:44:12;2025-12-29T11:30:07;2025-12-29T11:05:58
3;weep for soup;ravage;defenseless within boo;lest;enraged;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;aboard department;0.34;../fake-data/blob/hipster.txt;13946;23838.19;2025-12-29T23:22:16;2025-12-29T11:59:09;2025-12-30T01:55:28
4;plump;lively hm;deliberately;narrow degenerate;mealy against;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;frugal famously;0.4;../fake-data/blob/hipster.txt;7550;15308.43;2025-12-29T14:34:16;2025-12-30T00:58:49;2025-12-29T18:15:35
5;clamor;buck aboard contradict;however madly;lest ha;cluttered aw how;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;oval sleepily yum;0.34;../fake-data/blob/hipster.txt;8625;18083;2025-12-29T18:26:59;2025-12-29T22:47:12;2025-12-29T14:34:06
6;majestically aw searchingly;primary finally gah;pfft incomplete;monthly;violin lazily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;almighty;0.73;../fake-data/blob/hipster.txt;1616;22677.43;2025-12-30T03:29:29;2025-12-29T17:51:28;2025-12-29T10:59:11
7;despite physically elegantly;atop cheerful garrote;circa gosh badly;put huzzah as;boastfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reflate;0.23;../fake-data/blob/hipster.txt;4745;7559.63;2025-12-29T15:17:32;2025-12-30T02:46:03;2025-12-29T23:15:27
8;between;afore;punctually yowza;sideboard gosh;whenever enthusiastically;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;pfft dream;0.94;../fake-data/blob/hipster.txt;15146;60.67;2025-12-29T20:01:55;2025-12-30T00:09:39;2025-12-29T22:30:12
9;strictly;amid for instead;developmental crossly absent;misspend;agitated;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;vamoose;0.39;../fake-data/blob/hipster.txt;19623;26711.83;2025-12-29T09:10:23;2025-12-29T10:53:28;2025-12-29T19:31:58
10;following;deliberately;unabashedly;blissfully;when down snuggle;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;likewise regarding;0.08;../fake-data/blob/hipster.txt;20189;4682.41;2025-12-29T14:37:50;2025-12-29T22:37:33;2025-12-30T01:20:31
