id;name;description;document_query;archive_format;compression_level;encryption_enabled;encryption_algorithm;password;s_3_archive_key;archive_sha_256;archive_size;document_count;status;start_date;end_date;error_message;created_by;created_date
1;which bar;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;6;true;clearly hierarchy;within;aw strategy courageous;see;30337;29599;COMPLETED;2025-12-29T09:28:34;2025-12-29T16:25:47;../fake-data/blob/hipster.txt;like excitedly;2025-12-29T23:01:05
2;polite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;8;true;boss wide;woot zowie ignite;sour abnormally below;whoa lest;9470;4175;ARCHIVING;2025-12-29T12:05:02;2025-12-29T11:56:47;../fake-data/blob/hipster.txt;yet patiently;2025-12-29T21:43:21
3;that;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR;9;false;gosh keenly;even league;prickly sleepily;pale near;7170;19760;ARCHIVING;2025-12-29T21:11:25;2025-12-30T06:08:37;../fake-data/blob/hipster.txt;upright till clamor;2025-12-29T08:27:35
4;notwithstanding;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;8;false;taxicab aw ick;trusty so drat;next;version acquire;29225;2614;FAILED;2025-12-29T14:21:03;2025-12-30T04:41:13;../fake-data/blob/hipster.txt;pace;2025-12-29T22:01:47
5;chunder;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;6;false;till;outside yuck;bar;talkative;22544;10292;ARCHIVING;2025-12-29T21:53:37;2025-12-29T09:50:04;../fake-data/blob/hipster.txt;incinerate if beneath;2025-12-29T09:34:38
6;how apropos;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_BZ2;5;true;if procurement athwart;yum sleepily;book;thyme yieldingly;688;30051;PENDING;2025-12-29T19:36:44;2025-12-29T12:43:22;../fake-data/blob/hipster.txt;upliftingly blah;2025-12-29T12:34:49
7;circumference;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_BZ2;0;false;gosh off alongside;legging;airman aw;till;12386;28103;FAILED;2025-12-29T19:43:08;2025-12-30T02:51:19;../fake-data/blob/hipster.txt;longingly;2025-12-29T08:33:46
8;concerning retrospectivity;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;5;false;heavy arbitrate pish;wherever;woot likewise;as;14800;31987;PENDING;2025-12-29T08:13:52;2025-12-30T01:09:49;../fake-data/blob/hipster.txt;exactly aw;2025-12-29T18:41:59
9;than;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ZIP;6;false;under caring;qua;supposing including;yarmulke;10578;16035;COMPLETED;2025-12-29T10:02:59;2025-12-29T10:41:26;../fake-data/blob/hipster.txt;loosely qualified;2025-12-29T23:07:07
10;fully ugh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;TAR_XZ;8;true;lest machine;pupil prejudge psst;once that;yet;30705;14541;FAILED;2025-12-29T10:06:04;2025-12-30T03:58:24;../fake-data/blob/hipster.txt;dead fabricate upside-down;2025-12-30T01:14:55
