id;field_key;field_label;data_type;is_required;is_searchable;created_date
1;for amidst aboard;gray;PHONE;false;false;2025-12-29T16:28:37
2;while;hence ouch;INTEGER;false;true;2025-12-29T13:43:53
3;mobility round despite;yowza;BOOLEAN;true;true;2025-12-29T09:13:32
4;modulo;yuck scare;DATE;false;true;2025-12-29T07:15:51
5;emphasize gosh;ferociously near;PERCENTAGE;false;false;2025-12-29T21:17:33
6;which since;er unless;DATE;true;false;2025-12-30T06:24:09
7;coal tremendously;captain ramp notwithstanding;STRING;true;false;2025-12-30T03:41:11
8;density;up fondly ugh;URL;false;true;2025-12-30T03:31:03
9;on yuck given;provided naturally which;DATE;false;false;2025-12-29T11:56:46
10;upright whereas summary;lively;DATETIME;false;false;2025-12-29T12:23:37
