id;user_id;entity_type;entity_name;created_date
1;apud oof;SMART_FOLDER;surface effector;2025-12-29T23:55:25
2;incidentally;WORKFLOW;oof orchid;2025-12-29T17:53:04
3;for;DOCUMENT;barring;2025-12-30T06:21:01
4;whoever;FOLDER;yet impolite;2025-12-29T14:11:00
5;if;WORKFLOW;athwart;2025-12-29T19:53:58
6;proud blah;DASHBOARD;secondary;2025-12-29T23:28:26
7;meanwhile;SMART_FOLDER;hm unnecessarily correctly;2025-12-29T22:46:46
8;at;WORKFLOW;where bravely display;2025-12-30T00:52:27
9;gloom ultimate hexagon;SEARCH;but;2025-12-30T04:36:53
10;pack thorn amongst;WORKFLOW;screw;2025-12-29T10:01:51
