id;name;description;path;is_shared;created_date;created_by
1;sweetly inside accentuate;../fake-data/blob/hipster.txt;dazzling;false;2025-12-29T20:00:41;amid ack nor
2;phew;../fake-data/blob/hipster.txt;lest boohoo factorise;true;2025-12-29T14:09:25;downshift
3;lovingly;../fake-data/blob/hipster.txt;grubby abacus;true;2025-12-30T01:56:59;along disarm excluding
4;what barge knowingly;../fake-data/blob/hipster.txt;sew;true;2025-12-29T18:26:08;observe intend
5;armchair mainstream;../fake-data/blob/hipster.txt;under unimportant;false;2025-12-30T00:36:16;far solvency eternity
6;and;../fake-data/blob/hipster.txt;nervous;false;2025-12-29T23:21:36;that small tightly
7;alive rear curiously;../fake-data/blob/hipster.txt;yum unethically unhappy;false;2025-12-29T20:41:04;seldom dishonor
8;mummify rapidly recount;../fake-data/blob/hipster.txt;freely subexpression;true;2025-12-29T19:05:18;investigate outsource until
9;but pfft avalanche;../fake-data/blob/hipster.txt;aw forage as;true;2025-12-30T01:35:19;whoever
10;before lest submitter;../fake-data/blob/hipster.txt;mixed;false;2025-12-30T05:36:27;jealously bleakly mantua
