id;name;query_json;auto_refresh;is_public;created_by;created_date
1;lest obligation duh;../fake-data/blob/hipster.txt;false;false;too;2025-12-30T03:48:45
2;aw with;../fake-data/blob/hipster.txt;false;false;underplay emotional;2025-12-29T12:39:22
3;under pish;../fake-data/blob/hipster.txt;false;false;violently heavily a;2025-12-29T15:42:41
4;creamy;../fake-data/blob/hipster.txt;true;false;dreamily;2025-12-29T12:20:53
5;patiently;../fake-data/blob/hipster.txt;false;false;saloon;2025-12-29T22:30:30
6;buzzing uh-huh abaft;../fake-data/blob/hipster.txt;true;true;bah towards;2025-12-30T02:50:01
7;joyously;../fake-data/blob/hipster.txt;true;false;positively amid tribe;2025-12-30T05:15:15
8;anenst;../fake-data/blob/hipster.txt;false;false;consequently geez safely;2025-12-30T03:53:20
9;equally rival;../fake-data/blob/hipster.txt;false;false;hm imaginative;2025-12-29T14:21:14
10;speedily forswear;../fake-data/blob/hipster.txt;false;true;wildly sweetly;2025-12-29T14:52:23
