id;name;color;description;usage_count;is_system;created_date;created_by
1;in-joke gosh ugh;sky blu;engender taxicab;26924;true;2025-12-30T00:06:29;summary um
2;helplessly innovation ah;plum;fooey even;3828;true;2025-12-30T05:26:16;cavernous each limply
3;skeletal effector;lime;barring truly till;21520;false;2025-12-30T00:36:38;provided atop
4;appertain indeed fine;black;exacerbate;14860;true;2025-12-29T12:41:47;overtrain dial
5;brr gadzooks anticodon;yellow;victoriously enrich;20611;true;2025-12-29T12:18:31;hose whoa
6;without;ivory;yet;9707;false;2025-12-30T03:15:18;impossible yellow
7;yet depart;silver;character whoever likewise;17122;true;2025-12-29T13:47:10;courtroom why
8;embalm ick;sky blu;splurge the;4525;false;2025-12-30T01:12:54;mockingly
9;sanity;pink;a;6476;false;2025-12-29T14:27:17;while limited whether
10;precedent lightly;fuchsia;since;10476;true;2025-12-30T03:14:15;manage runny unkempt
