id;sha_256;from_email;to_email;subject;body;body_html;received_date;processed_date;status;attachment_count;documents_created;error_message;metadata;document_sha_256
1;ick;oof;mad;joyfully how upliftingly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T07:45:50;2025-12-29T23:33:24;PARTIAL;7212;18338;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;cruelty outlying
2;clearly apparatus;basket neaten;ostrich barring;that concerning;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T23:40:35;2025-12-29T12:42:49;PROCESSING;16910;27255;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;atop
3;pro negative by;lovable;optimistic;unless league elegantly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T23:09:09;2025-12-30T02:04:52;IGNORED;22878;3772;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;for yowza
4;ack;opposite;verify make um;tenderly thoughtfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-30T02:35:44;2025-12-29T12:10:35;PARTIAL;11714;18465;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;anenst
5;honesty;deserted;striking newsletter unnaturally;internalise gradient candid;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-30T01:29:55;2025-12-30T01:26:02;IGNORED;15535;29910;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;upliftingly headline
6;noon ick;habit impartial intrepid;despite quart;aw easy edible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T08:45:13;2025-12-29T12:04:56;PROCESSING;29516;8996;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;spherical supposing
7;so;anguished confound;questioningly young train;braid sad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T22:31:57;2025-12-30T04:19:37;PENDING;6188;4387;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;solidly
8;gladly but before;likewise;bid doubtfully;bob;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-30T02:11:13;2025-12-29T19:10:13;IGNORED;22975;3509;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;phew
9;analogy bran;boring ditch;furthermore where;thorny what huzzah;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-29T07:06:11;2025-12-29T11:27:11;IGNORED;25607;19002;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;brr
10;nervous solvency unkempt;than before;ick grave why;premier instead;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-12-30T02:05:07;2025-12-29T07:11:40;IGNORED;14530;18802;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;upright as scratchy
