id;name;description;path_template;file_name_template;variables;examples;is_system;is_active;usage_count;created_by;created_date;last_modified_date
1;pant dicker;../fake-data/blob/hipster.txt;mobilise;whether;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;7114;swath;2025-12-29T12:32:34;2025-12-30T05:04:09
2;promptly disappointment legislature;../fake-data/blob/hipster.txt;deprave careless;gosh even;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;28713;promptly polished;2025-12-30T06:16:04;2025-12-29T14:31:02
3;inferior;../fake-data/blob/hipster.txt;ugh yum;deduce yum;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;16249;disappointment yak;2025-12-30T01:02:59;2025-12-30T04:44:08
4;unnecessarily gosh;../fake-data/blob/hipster.txt;very around intend;though slimy;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;18053;fooey meh who;2025-12-30T01:23:50;2025-12-29T14:01:16
5;boohoo;../fake-data/blob/hipster.txt;brr;importance because tomb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;25016;dredger searchingly innovation;2025-12-30T00:58:08;2025-12-29T18:52:33
6;famously;../fake-data/blob/hipster.txt;table ajar;zowie yet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;false;12147;encode gosh kindly;2025-12-29T19:36:07;2025-12-30T06:26:17
7;hollow;../fake-data/blob/hipster.txt;shy finally whoa;than geez ragged;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;true;28772;sheepishly recent;2025-12-29T08:22:07;2025-12-29T21:14:01
8;out;../fake-data/blob/hipster.txt;despite weary;surprisingly consequently nun;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;14084;unusual;2025-12-30T02:59:21;2025-12-30T00:34:03
9;woot when exempt;../fake-data/blob/hipster.txt;when;daily huge circa;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;true;17278;gadzooks inhibit;2025-12-29T18:11:33;2025-12-29T17:59:55
10;anenst;../fake-data/blob/hipster.txt;limp anguished;when;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;false;12693;blissfully as rightfully;2025-12-29T13:21:27;2025-12-29T20:40:30
