id;document_sha_256;original_file_name;exported_path;exported_file_name;s_3_export_key;file_size;status;error_message;exported_date
1;unaccountably;neatly regarding;bah;limply eek;grass disapprove excluding;14757;FAILED;../fake-data/blob/hipster.txt;2025-12-30T01:04:01
2;yahoo hm rotating;likewise um;drat;taxicab toward mathematics;pecan alive draw;27540;FAILED;../fake-data/blob/hipster.txt;2025-12-29T16:29:32
3;scornful;mid vol;blah sticky;curiously;anti;30070;SUCCESS;../fake-data/blob/hipster.txt;2025-12-29T14:24:21
4;yowza;qualified little;yet till;colour youthfully;twist;9151;SKIPPED;../fake-data/blob/hipster.txt;2025-12-29T20:05:10
5;and recklessly tightly;wilt;aw;complicated until knit;whether;5062;SUCCESS;../fake-data/blob/hipster.txt;2025-12-29T13:29:40
6;rosemary;qua woefully burdensome;yuck whenever anenst;clinch dress;gracefully after;25062;SKIPPED;../fake-data/blob/hipster.txt;2025-12-29T07:52:38
7;save;who courtroom zealous;publication;uh-huh;kookily;1825;SUCCESS;../fake-data/blob/hipster.txt;2025-12-29T15:14:10
8;following;generously drag warlike;distinction;onto developing;hose unless around;17916;FAILED;../fake-data/blob/hipster.txt;2025-12-30T01:15:42
9;only;knotty sneaky;weakly meanwhile;alongside;ha worriedly luck;1315;SUCCESS;../fake-data/blob/hipster.txt;2025-12-29T15:39:58
10;throughout jump right;whoa of yet;rigidly kiddingly inasmuch;until economise;apud off;27644;FAILED;../fake-data/blob/hipster.txt;2025-12-30T05:02:50
