id;severity;title;message;entity_type;entity_name;status;triggered_date;acknowledged_by;acknowledged_date;resolved_by;resolved_date
1;MEDIUM;scale battle;../fake-data/blob/hipster.txt;jubilantly;straight;ESCALATED;2025-12-29T22:13:44;up but oh;2025-12-29T23:51:02;doorpost vivacious;2025-12-29T07:49:15
2;CRITICAL;structure waft;../fake-data/blob/hipster.txt;strictly;acceptable suckle tepid;ACKNOWLEDGED;2025-12-29T18:51:38;coincide distinct these;2025-12-29T14:54:09;accentuate below;2025-12-29T09:56:45
3;HIGH;inasmuch owlishly overload;../fake-data/blob/hipster.txt;ill;sinful forearm;DISMISSED;2025-12-29T16:05:25;with wee;2025-12-29T17:31:22;little than;2025-12-29T23:56:11
4;CRITICAL;palate but mature;../fake-data/blob/hipster.txt;amongst cafe glaring;neck;ESCALATED;2025-12-29T12:57:01;punctually window;2025-12-29T15:45:09;incomplete;2025-12-29T23:58:12
5;CRITICAL;pfft membership;../fake-data/blob/hipster.txt;unimpressively wobbly what;ad absent;ACKNOWLEDGED;2025-12-30T01:01:15;ha meh;2025-12-29T10:17:10;loyally wherever;2025-12-30T03:31:12
6;LOW;segregate boo actual;../fake-data/blob/hipster.txt;beautifully when bore;though helplessly elevation;RESOLVED;2025-12-30T04:05:49;circa;2025-12-29T21:08:18;quirkily;2025-12-29T14:34:57
7;LOW;jive boohoo;../fake-data/blob/hipster.txt;furthermore;more soon than;RESOLVED;2025-12-30T03:23:58;save though to;2025-12-29T09:55:50;assist silently pick;2025-12-30T03:57:23
8;HIGH;which;../fake-data/blob/hipster.txt;aha drat zowie;pro puzzled oddly;ACKNOWLEDGED;2025-12-29T21:30:46;charlatan pish;2025-12-30T04:23:32;veto;2025-12-29T20:33:54
9;CRITICAL;ecstatic;../fake-data/blob/hipster.txt;however phooey;apropos;ACTIVE;2025-12-29T19:19:49;really;2025-12-29T17:26:25;excluding accompanist;2025-12-29T08:06:01
10;LOW;sneaky ew huzzah;../fake-data/blob/hipster.txt;swiftly blink pink;fooey;RESOLVED;2025-12-30T05:24:25;shrill skeleton;2025-12-30T04:13:11;amongst;2025-12-29T07:51:59
