id;service_name;service_type;status;endpoint;port;version;last_ping;is_healthy
1;ack;orange;MAINTENANCE;whoever monasticism accessorise;14436;lovingly whoever;2025-12-29T23:49:32;false
2;geez given ha;complication mount;ERROR;whereas;11214;guide redress traffic;2025-12-29T22:19:29;false
3;annually;wonderfully atomize shudder;ERROR;er;8813;assail without;2025-12-29T17:24:04;true
4;remark;forage instead;STOPPING;um unless;14317;misjudge serene;2025-12-29T12:57:38;false
5;inasmuch;between annually;MAINTENANCE;honestly;291;solidly fluctuate;2025-12-29T14:50:01;false
6;gah lest reconstitute;while with frilly;MAINTENANCE;than recklessly or;22992;own gah unlike;2025-12-29T16:01:52;false
7;bah gah;axe task;STOPPING;likewise square;23489;ha yum;2025-12-29T15:17:03;false
8;airbus;sleepily subexpression;STOPPING;on;6814;sushi given buttery;2025-12-29T18:49:58;true
9;sophisticated;opera now omelet;STOPPED;galoshes shred slip;15765;snappy until tinderbox;2025-12-29T07:18:02;true
10;squiggly;kooky nearly huzzah;ERROR;lend restaurant;12799;between;2025-12-29T10:56:05;false
