id;title;message;type;priority;recipient_id;is_read;read_date;channel;related_entity_type;related_entity_name;action_url;metadata;expiration_date;sent_date;created_date
1;inasmuch um apparatus;../fake-data/blob/hipster.txt;OCR_COMPLETED;HIGH;sneaky splosh;true;2025-12-30T01:24:21;PUSH;self-confidence repentant ultimately;barring;masculinize uh-huh miserly;../fake-data/blob/hipster.txt;2025-12-29T10:35:55;2025-12-29T18:53:53;2025-12-30T00:58:24
2;hoarse sonar;../fake-data/blob/hipster.txt;DOCUMENT_UPLOADED;NORMAL;provided characterization anti;true;2025-12-29T09:04:07;SMS;tinderbox boo how;whose that;stigmatize;../fake-data/blob/hipster.txt;2025-12-29T10:42:41;2025-12-29T23:48:53;2025-12-29T14:43:49
3;abaft;../fake-data/blob/hipster.txt;DOCUMENT_SHARED;NORMAL;bashfully hoot;false;2025-12-30T05:23:06;PUSH;lest whose meanwhile;second loosely yowza;carelessly whenever unless;../fake-data/blob/hipster.txt;2025-12-30T05:26:49;2025-12-29T06:31:26;2025-12-29T13:32:25
4;yesterday;../fake-data/blob/hipster.txt;AI_TAG_SUGGESTED;HIGH;slather ligate;false;2025-12-30T01:17:25;IN_APP;scarily phooey;meanwhile;unused truly except;../fake-data/blob/hipster.txt;2025-12-29T09:55:42;2025-12-29T14:47:33;2025-12-29T14:53:07
5;uh-huh icebreaker;../fake-data/blob/hipster.txt;WORKFLOW_REJECTED;HIGH;furthermore;false;2025-12-29T09:30:16;EMAIL;colorize substantiate cruelly;meh which hastily;substantiate given popularity;../fake-data/blob/hipster.txt;2025-12-29T22:22:37;2025-12-29T16:26:03;2025-12-30T06:05:21
6;minus hollow;../fake-data/blob/hipster.txt;WORKFLOW_APPROVED;HIGH;deploy truly;false;2025-12-29T18:16:19;SMS;stir-fry;shadowbox hmph miserable;above ignite oof;../fake-data/blob/hipster.txt;2025-12-29T21:52:02;2025-12-30T04:53:24;2025-12-29T20:10:30
7;psst selfishly bonfire;../fake-data/blob/hipster.txt;DOCUMENT_PROCESSED;HIGH;positively;true;2025-12-29T16:46:15;EMAIL;aw suddenly in;however;silently forceful;../fake-data/blob/hipster.txt;2025-12-29T19:31:58;2025-12-29T22:27:59;2025-12-29T19:32:10
8;afore surprisingly glittering;../fake-data/blob/hipster.txt;WORKFLOW_ASSIGNED;LOW;intermesh rewrite bitterly;true;2025-12-30T00:31:33;WEBHOOK;nearly including government;neglected lest among;jubilantly pace minor;../fake-data/blob/hipster.txt;2025-12-29T21:13:16;2025-12-29T08:24:10;2025-12-30T01:18:38
9;yieldingly;../fake-data/blob/hipster.txt;DOCUMENT_SHARED;NORMAL;anneal skyline brr;false;2025-12-29T19:57:27;PUSH;lest qua corral;ridge;scarcely sup whose;../fake-data/blob/hipster.txt;2025-12-29T14:14:59;2025-12-29T08:40:29;2025-12-29T07:48:42
10;for stealthily;../fake-data/blob/hipster.txt;WORKFLOW_ASSIGNED;HIGH;whether;true;2025-12-29T14:46:49;EMAIL;without legal than;huzzah shaft gadzooks;outset;../fake-data/blob/hipster.txt;2025-12-30T00:11:37;2025-12-29T20:22:28;2025-12-29T13:30:51
