id;document_sha_256;page_number;tika_text;tika_confidence;ai_text;ai_confidence;similarity;differences;differences_s_3_key;selected_engine;selected_by;selected_date;comparison_date;metadata
1;psst;3591;../fake-data/blob/hipster.txt;0.74;../fake-data/blob/hipster.txt;0.64;0.24;../fake-data/blob/hipster.txt;after;CUSTOM;marathon nor pish;2025-12-30T04:21:58;2025-12-30T03:38:39;../fake-data/blob/hipster.txt
2;lest;28793;../fake-data/blob/hipster.txt;0.42;../fake-data/blob/hipster.txt;0.38;0.84;../fake-data/blob/hipster.txt;mysteriously oof;OPENAI_VISION;object;2025-12-29T10:40:45;2025-12-29T14:48:09;../fake-data/blob/hipster.txt
3;sniveling;15027;../fake-data/blob/hipster.txt;0.46;../fake-data/blob/hipster.txt;0.05;0.21;../fake-data/blob/hipster.txt;repossess;GOOGLE_VISION;boohoo meh duh;2025-12-29T22:33:20;2025-12-29T18:22:58;../fake-data/blob/hipster.txt
4;kick;27076;../fake-data/blob/hipster.txt;0.81;../fake-data/blob/hipster.txt;0.16;0.53;../fake-data/blob/hipster.txt;yahoo positively lowball;HYBRID;actually spring;2025-12-29T23:51:40;2025-12-30T02:36:43;../fake-data/blob/hipster.txt
5;depend nearly fall;30829;../fake-data/blob/hipster.txt;0.86;../fake-data/blob/hipster.txt;0.55;0.52;../fake-data/blob/hipster.txt;er jaunty;CUSTOM;confound unit generously;2025-12-29T18:34:45;2025-12-30T05:21:57;../fake-data/blob/hipster.txt
6;cautiously unfurl fatally;9499;../fake-data/blob/hipster.txt;0.11;../fake-data/blob/hipster.txt;0.57;0.84;../fake-data/blob/hipster.txt;dazzling since;TIKA_TESSERACT;athwart carefully calculus;2025-12-29T08:59:39;2025-12-29T12:38:12;../fake-data/blob/hipster.txt
7;huzzah pish merry;31257;../fake-data/blob/hipster.txt;0.84;../fake-data/blob/hipster.txt;0.18;0.01;../fake-data/blob/hipster.txt;knuckle;AWS_TEXTRACT;convoke;2025-12-29T06:36:40;2025-12-29T13:33:58;../fake-data/blob/hipster.txt
8;almost;685;../fake-data/blob/hipster.txt;0.02;../fake-data/blob/hipster.txt;0.85;0.87;../fake-data/blob/hipster.txt;considerate besides bestride;CUSTOM;commemorate athwart;2025-12-29T18:22:25;2025-12-30T05:33:34;../fake-data/blob/hipster.txt
9;ashamed gloss hydrant;10348;../fake-data/blob/hipster.txt;0.5;../fake-data/blob/hipster.txt;0.01;0.66;../fake-data/blob/hipster.txt;confute;TIKA_TESSERACT;attraction;2025-12-30T04:35:45;2025-12-29T15:44:48;../fake-data/blob/hipster.txt
10;quick;29060;../fake-data/blob/hipster.txt;0.62;../fake-data/blob/hipster.txt;0.43;0.73;../fake-data/blob/hipster.txt;unfortunate sans;CUSTOM;now middle insignificant;2025-12-29T14:28:49;2025-12-29T16:04:01;../fake-data/blob/hipster.txt
