id;status;document_sha_256;s_3_key;s_3_bucket;requested_language;detected_language;language_confidence;ocr_engine;tika_endpoint;ai_provider;ai_model;result_cache_key;is_cached;start_date;end_date;error_message;page_count;progress;retry_count;priority;processing_time;cost_estimate;created_date;created_by
1;FAILED;avow yum smug;requirement qua;while;irritably ;worth cour;0.79;ANTHROPIC_CLAUDE;until;instead silky;hmph;naturally boo;false;2025-12-30T00:02:12;2025-12-29T08:08:50;../fake-data/blob/hipster.txt;13937;91;24859;6564;6158;15194.82;2025-12-29T09:11:09;big
2;PENDING;heroine gadzooks or;after cluttered commandeer;instead inasmuch whenever;whether ou;fooey nor;0.6;AWS_TEXTRACT;overtrain;so per;uh-huh;supposing;false;2025-12-29T17:11:55;2025-12-30T04:39:22;../fake-data/blob/hipster.txt;14700;80;23412;19952;31773;23885.47;2025-12-29T19:04:19;flickering capitalize heartache
3;IN_PROGRESS;hm calculating suffocate;gifted;likewise which into;phew;unlike con;0.83;ANTHROPIC_CLAUDE;drat;on zebra;minority taxicab until;frankly liberalize;false;2025-12-29T07:27:20;2025-12-29T20:48:36;../fake-data/blob/hipster.txt;20989;27;12655;17962;6909;28638.72;2025-12-29T14:41:26;since
4;COMPLETED;hm;yuck pip bewail;pish hold laughter;fooey fax;resort;0.45;TIKA_TESSERACT;flickering left;whoever yowza via;faithfully among;minor whereas oh;true;2025-12-29T14:03:28;2025-12-29T11:37:58;../fake-data/blob/hipster.txt;18066;51;22308;20061;28797;7609.48;2025-12-29T08:31:12;over
5;FAILED;colorfully equally;scornful properly towards;brr;against;platypus o;0.76;AWS_TEXTRACT;during minor quickly;quit deeply;overvalue;hence kiddingly circa;false;2025-12-29T16:36:24;2025-12-30T06:26:57;../fake-data/blob/hipster.txt;6760;34;11884;410;19568;29947.27;2025-12-29T17:51:44;strait
6;RETRYING;because fooey juicy;firsthand to favorable;neatly;elver thou;scratchy i;0.81;AZURE_VISION;though strait;symbolise;of scared;indeed duh;false;2025-12-29T18:36:25;2025-12-30T03:03:08;../fake-data/blob/hipster.txt;10372;71;21194;30119;9480;6823.1;2025-12-30T00:00:54;unselfish till jungle
7;IN_PROGRESS;nautical than;scarcely reckless;regularly;exempt aw;sting;0.91;HYBRID;spattering;dispose ha;scruple inside foretell;thump;false;2025-12-29T10:20:17;2025-12-29T22:58:21;../fake-data/blob/hipster.txt;24573;57;682;31202;27330;26766.51;2025-12-29T15:36:54;profitable
8;FAILED;lightly unless fiercely;whenever;so windy;jittery ga;equally tw;0.04;ANTHROPIC_CLAUDE;excluding;atop;swathe tightly;bump supposing;false;2025-12-29T13:50:27;2025-12-29T07:29:15;../fake-data/blob/hipster.txt;14002;49;10628;8964;3404;6464.38;2025-12-29T23:47:50;upwardly
9;IN_PROGRESS;searchingly;qua worth;the;pessimisti;than;0.38;ANTHROPIC_CLAUDE;unless deselect bandwidth;scenario;icy;relieve indeed;true;2025-12-29T10:49:25;2025-12-30T05:22:16;../fake-data/blob/hipster.txt;12247;84;31331;30297;18786;13473.96;2025-12-29T21:59:34;even
10;RETRYING;divert phooey oh;coin joshingly whoever;consequently bathhouse failing;serenade;offensivel;0.92;CUSTOM;which;boohoo;knavishly;whoa;true;2025-12-30T04:16:24;2025-12-29T20:10:37;../fake-data/blob/hipster.txt;11949;52;10636;20501;27206;13094.87;2025-12-29T10:23:06;deploy
