id;batch_name;description;created_at;status;total_conversions;completed_conversions;failed_conversions;started_at;completed_at;total_processing_duration;created_by_user_id
1;rapidly;drat;2025-12-29T06:52:47;CANCELLED;30173;5610;27558;2025-12-30T04:12:17;2025-12-30T01:31:58;18111;13343
2;gadzooks ferociously;oof galvanize;2025-12-29T18:52:10;FAILED;9708;12762;11667;2025-12-29T06:43:50;2025-12-29T07:16:32;19068;8783
3;thorough furthermore testimonial;endow and where;2025-12-29T12:18:03;PROCESSING;14232;30374;27251;2025-12-29T19:57:28;2025-12-30T00:30:33;19081;25572
4;galvanize stranger;meager loudly;2025-12-29T20:12:11;PROCESSING;21474;17319;21967;2025-12-29T12:11:24;2025-12-29T12:44:27;12728;10760
5;oof fruitful;daintily sternly distinct;2025-12-29T09:40:32;PROCESSING;16912;7758;9836;2025-12-29T08:09:44;2025-12-30T03:54:19;641;5343
6;voluntarily hope;now;2025-12-29T13:56:29;FAILED;23277;32023;19374;2025-12-29T23:13:12;2025-12-29T20:04:19;26112;22228
7;dull;curse yuck skateboard;2025-12-29T21:39:15;FAILED;13490;10611;205;2025-12-29T19:00:34;2025-12-29T09:22:36;22241;15604
8;syringe antique;scientific but;2025-12-29T13:20:57;PENDING;23014;26827;24052;2025-12-29T07:55:02;2025-12-29T18:14:31;6531;7880
9;concerning;duh until before;2025-12-29T23:38:17;COMPLETED;3957;31071;1505;2025-12-29T20:20:32;2025-12-30T06:31:20;16460;7438
10;since clear-cut fussy;impish conjecture willfully;2025-12-29T07:12:09;PENDING;2198;1779;30591;2025-12-29T08:11:32;2025-12-30T01:31:23;14041;3396
