id;original_request_id;archived_at;conversion_data;images_count;total_size;final_status;processing_duration
1;17425;2025-12-29T10:46:34;../fake-data/blob/hipster.txt;17507;15852;PENDING;23051
2;1317;2025-12-29T18:44:12;../fake-data/blob/hipster.txt;28771;19742;PENDING;25224
3;25942;2025-12-30T05:39:45;../fake-data/blob/hipster.txt;4377;26616;PROCESSING;24262
4;22413;2025-12-29T21:50:50;../fake-data/blob/hipster.txt;13066;32057;CANCELLED;10293
5;10788;2025-12-29T15:14:40;../fake-data/blob/hipster.txt;26568;16307;FAILED;6524
6;28413;2025-12-29T13:46:32;../fake-data/blob/hipster.txt;540;6007;PROCESSING;1107
7;17288;2025-12-29T20:33:26;../fake-data/blob/hipster.txt;17663;17193;CANCELLED;17634
8;15061;2025-12-30T05:06:09;../fake-data/blob/hipster.txt;7917;10068;PROCESSING;11654
9;15225;2025-12-30T05:13:09;../fake-data/blob/hipster.txt;25265;20145;PENDING;2167
10;28277;2025-12-29T08:00:24;../fake-data/blob/hipster.txt;16649;24444;COMPLETED;25235
