id;statistics_date;total_conversions;successful_conversions;failed_conversions;total_pages_converted;total_images_generated;total_images_size;average_processing_duration;max_processing_duration;min_processing_duration;calculated_at
1;2025-12-29;29952;28446;6253;15913;6423;29018;29831;2957;30208;2025-12-29T10:58:41
2;2025-12-29;3027;31901;5093;31913;22697;13560;26028;11553;20310;2025-12-29T21:23:17
3;2025-12-30;4869;9663;29420;24285;31716;29473;2627;18044;23527;2025-12-29T11:29:09
4;2025-12-30;949;332;10127;24798;8679;28413;18262;30589;17382;2025-12-29T06:52:51
5;2025-12-29;9331;25918;906;23653;21421;12873;463;11466;2501;2025-12-29T22:37:02
6;2025-12-29;22216;20660;32756;19961;274;28523;8532;16432;15092;2025-12-29T07:26:24
7;2025-12-29;4936;10676;28536;20273;9861;31591;16259;29237;8127;2025-12-29T14:29:15
8;2025-12-29;28335;31301;14519;18600;29953;25315;10222;32461;15020;2025-12-30T00:58:17
9;2025-12-29;9635;19962;11117;10589;20053;20429;19630;9072;4623;2025-12-29T12:44:05
10;2025-12-29;9263;17593;24467;7577;1883;20030;32238;6584;3034;2025-12-29T22:19:29
