id;name;description;user_id;is_public;layout;refresh_interval;is_default;created_date
1;baa;../fake-data/blob/hipster.txt;truthfully throughout oval;false;../fake-data/blob/hipster.txt;14794;true;2025-12-30T04:56:40
2;intellect;../fake-data/blob/hipster.txt;oof meager;true;../fake-data/blob/hipster.txt;5986;true;2025-12-29T10:21:28
3;quicker;../fake-data/blob/hipster.txt;above but;false;../fake-data/blob/hipster.txt;13219;false;2025-12-29T10:31:00
4;till juicy regularly;../fake-data/blob/hipster.txt;packaging;false;../fake-data/blob/hipster.txt;11566;true;2025-12-30T06:11:08
5;remark;../fake-data/blob/hipster.txt;than;false;../fake-data/blob/hipster.txt;23691;false;2025-12-29T15:50:00
6;amongst;../fake-data/blob/hipster.txt;elevation fictionalize;true;../fake-data/blob/hipster.txt;3826;false;2025-12-29T13:09:17
7;duh round while;../fake-data/blob/hipster.txt;perspire gummy difficult;false;../fake-data/blob/hipster.txt;5323;true;2025-12-29T11:53:31
8;anti never questioningly;../fake-data/blob/hipster.txt;but save past;true;../fake-data/blob/hipster.txt;19234;false;2025-12-29T17:20:59
9;gee;../fake-data/blob/hipster.txt;optimistically major;false;../fake-data/blob/hipster.txt;7434;false;2025-12-30T03:02:26
10;adult around plus;../fake-data/blob/hipster.txt;attribute pro;false;../fake-data/blob/hipster.txt;28502;false;2025-12-29T08:28:52
