id;widget_type;title;configuration;data_source;position;size_x;size_y
1;GAUGE;submissive elevation;../fake-data/blob/hipster.txt;neat or possession;13805;19810;15986
2;METRIC;slipper;../fake-data/blob/hipster.txt;meanwhile technologist sans;16996;25889;24736
3;CHART_AREA;that;../fake-data/blob/hipster.txt;joyfully;4917;20931;11081
4;TOP_TAGS;enormously infinite um;../fake-data/blob/hipster.txt;fit confute litter;25202;12835;11884
5;CHART_LINE;phooey;../fake-data/blob/hipster.txt;expatiate;13475;18579;812
6;USER_ACTIVITY;pish;../fake-data/blob/hipster.txt;plus;8516;24887;5056
7;CHART_LINE;tightly;../fake-data/blob/hipster.txt;ah pace eek;30722;19319;31002
8;RECENT_UPLOADS;oil till;../fake-data/blob/hipster.txt;beneath;24388;29389;9977
9;RECENT_UPLOADS;indeed;../fake-data/blob/hipster.txt;hence;4955;7238;20776
10;CHART_AREA;jubilantly;../fake-data/blob/hipster.txt;lava;29765;19860;10120
