id;query;filters;result_count;execution_time;user_id;search_date;is_relevant
1;zowie devise;../fake-data/blob/hipster.txt;25016;10928;mid;2025-12-30T02:29:03;false
2;stir-fry legitimize tender;../fake-data/blob/hipster.txt;4664;3858;bore;2025-12-29T11:58:23;true
3;alarmed;../fake-data/blob/hipster.txt;8155;12490;from beside;2025-12-30T01:11:33;true
4;admired;../fake-data/blob/hipster.txt;26143;11790;inside rule even;2025-12-30T06:04:13;false
5;subdued;../fake-data/blob/hipster.txt;23468;26710;heartbeat pupil;2025-12-29T14:56:03;true
6;schematise diagram converse;../fake-data/blob/hipster.txt;5764;32146;evenly scale;2025-12-30T00:04:22;true
7;yippee ugh not;../fake-data/blob/hipster.txt;6433;71;midst reluctantly nor;2025-12-30T05:16:30;false
8;once;../fake-data/blob/hipster.txt;24688;29253;longingly;2025-12-29T23:59:20;true
9;major too although;../fake-data/blob/hipster.txt;24872;26196;beside;2025-12-29T12:06:50;true
10;glossy blah;../fake-data/blob/hipster.txt;14158;5929;consistency;2025-12-30T04:14:10;true
