id;name;description;algorithm;centroid;document_count;avg_similarity;created_date;last_updated
1;alongside;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;5529;0.81;2025-12-29T11:33:53;2025-12-30T04:53:47
2;jump duh asset;../fake-data/blob/hipster.txt;DEEP_LEARNING;../fake-data/blob/hipster.txt;23229;0.66;2025-12-29T18:54:52;2025-12-29T15:23:34
3;chubby;../fake-data/blob/hipster.txt;LEVENSHTEIN;../fake-data/blob/hipster.txt;930;0.24;2025-12-30T05:26:21;2025-12-29T20:50:10
4;ultimately than tightly;../fake-data/blob/hipster.txt;LSH;../fake-data/blob/hipster.txt;32217;0.85;2025-12-30T06:07:36;2025-12-29T23:07:38
5;suffocate linseed;../fake-data/blob/hipster.txt;DEEP_LEARNING;../fake-data/blob/hipster.txt;7472;0.69;2025-12-29T06:39:19;2025-12-30T06:26:19
6;godparent;../fake-data/blob/hipster.txt;LEVENSHTEIN;../fake-data/blob/hipster.txt;1780;0.34;2025-12-29T10:27:00;2025-12-29T09:04:58
7;joint collaborate considering;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;2877;0.57;2025-12-29T12:57:12;2025-12-30T03:30:11
8;ecstatic beside gadzooks;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;23167;0.1;2025-12-29T07:41:08;2025-12-29T17:17:06
9;drat giving;../fake-data/blob/hipster.txt;COMBINED;../fake-data/blob/hipster.txt;1833;0.26;2025-12-29T22:17:33;2025-12-29T10:05:46
10;council;../fake-data/blob/hipster.txt;COMBINED;../fake-data/blob/hipster.txt;8902;0.17;2025-12-29T11:57:51;2025-12-29T08:00:35
