id;document_sha_256;redaction_areas;redaction_type;redaction_color;replace_with;output_s_3_key;output_document_sha_256;status;start_date;end_date;error_message;created_by;created_date
1;amidst;../fake-data/blob/hipster.txt;BLACK_BOX;as plum;spear quarterly regularly;clavicle;for despite geez;PROCESSING;2025-12-29T06:47:29;2025-12-29T12:58:44;../fake-data/blob/hipster.txt;masquerade;2025-12-29T13:57:04
2;procrastinate daily;../fake-data/blob/hipster.txt;PATTERN;valiant;shoddy after;taxicab;on doubtfully;FAILED;2025-12-29T06:37:49;2025-12-29T23:29:51;../fake-data/blob/hipster.txt;ferociously amongst monocle;2025-12-29T11:35:50
3;arcade finally officially;../fake-data/blob/hipster.txt;PATTERN;ouch am;blue;that willing;insolence probate;CANCELLED;2025-12-30T05:23:41;2025-12-29T14:30:45;../fake-data/blob/hipster.txt;vein rebuff;2025-12-29T21:09:52
4;heating;../fake-data/blob/hipster.txt;WHITE_BOX;aggress;pants;blight yet creak;yuck brr;PENDING;2025-12-29T15:09:31;2025-12-29T20:12:25;../fake-data/blob/hipster.txt;boiling even;2025-12-29T19:18:36
5;through psst;../fake-data/blob/hipster.txt;BLUR;tender;bustling although excepting;than;that;PENDING;2025-12-30T06:24:46;2025-12-29T11:43:42;../fake-data/blob/hipster.txt;mmm bracelet oblong;2025-12-30T02:36:22
6;nor shyly;../fake-data/blob/hipster.txt;PIXELATE;because;marimba softly broadly;bobble;in sleepily gray;PENDING;2025-12-29T13:55:59;2025-12-29T12:02:00;../fake-data/blob/hipster.txt;but;2025-12-29T11:59:18
7;considering huzzah ah;../fake-data/blob/hipster.txt;BLUR;vice;cheap meanwhile;onto;uh-huh scared;PENDING;2025-12-29T19:56:56;2025-12-29T15:43:41;../fake-data/blob/hipster.txt;economise scornful why;2025-12-29T20:36:29
8;coil precious;../fake-data/blob/hipster.txt;PIXELATE;motivat;persecute imagineer where;mmm greedily coarse;longboat at valiantly;PENDING;2025-12-29T11:42:01;2025-12-29T12:17:29;../fake-data/blob/hipster.txt;sailor;2025-12-29T15:50:56
9;overproduce release;../fake-data/blob/hipster.txt;PIXELATE;buck th;aw except synthesise;perp mmm;brr and remarkable;CANCELLED;2025-12-29T15:12:45;2025-12-29T18:31:29;../fake-data/blob/hipster.txt;glum boo ack;2025-12-29T23:38:46
10;sway;../fake-data/blob/hipster.txt;PATTERN;sin bec;quarrel afore forenenst;instantly ah;gosh;CANCELLED;2025-12-30T02:32:32;2025-12-29T16:34:55;../fake-data/blob/hipster.txt;bell;2025-12-29T16:18:51
