id;document_sha_256;watermark_type;watermark_text;watermark_image_s_3_key;position;opacity;font_size;color;rotation;tiled;output_s_3_key;output_document_sha_256;status;start_date;end_date;error_message;created_by;created_date
1;honorable;QR_CODE;seal down hence;unless;TOP_CENTER;99;24889;fuchsia;19659;false;override;gah;FAILED;2025-12-29T19:49:13;2025-12-30T00:03:52;../fake-data/blob/hipster.txt;oof;2025-12-30T03:46:15
2;about after;TEXT;never sternly;qua battle;TOP_CENTER;3;6652;cyan;28881;true;lustrous;eek nocturnal meager;CANCELLED;2025-12-30T02:44:45;2025-12-29T21:34:45;../fake-data/blob/hipster.txt;minus academics;2025-12-30T06:01:45
3;lifestyle whoever cautious;INVISIBLE;carboxyl;arraign lest dramatic;BOTTOM_RIGHT;92;18393;maroon;7614;true;an past lumpy;yum arrange whether;COMPLETED;2025-12-29T09:26:01;2025-12-30T04:35:43;../fake-data/blob/hipster.txt;zowie wonderfully;2025-12-30T01:12:49
4;rosy lawmaker;IMAGE;yet;even bah brr;BOTTOM_LEFT;96;1172;gold;25154;true;midst miscalculate helpful;as;PROCESSING;2025-12-29T18:19:06;2025-12-29T08:16:28;../fake-data/blob/hipster.txt;incidentally enormously;2025-12-29T11:01:12
5;rapid defensive search;INVISIBLE;aha carp pearl;questionably inspection whoever;CENTER;8;29411;turquoi;30200;true;lace punctuation whoa;quickly;FAILED;2025-12-29T21:34:12;2025-12-29T15:17:55;../fake-data/blob/hipster.txt;biodegrade useless whose;2025-12-29T14:12:54
6;closely across yuck;TEXT;corrupt shameful;labourer;BOTTOM_RIGHT;66;9033;orchid;9105;false;railway heartache shudder;zowie;PENDING;2025-12-29T12:19:57;2025-12-29T14:05:34;../fake-data/blob/hipster.txt;vacation;2025-12-29T22:28:14
7;save;INVISIBLE;sentimental;for;TOP_LEFT;79;5615;orange;14747;false;though hence pile;strange gadzooks given;CANCELLED;2025-12-29T17:27:50;2025-12-29T20:15:16;../fake-data/blob/hipster.txt;exactly gleefully;2025-12-29T14:29:33
8;mean reluctantly elegantly;TEXT;gradient and best;uh-huh;CENTER;4;8361;azure;10985;true;pish place;lighthearted finally glider;PENDING;2025-12-29T18:46:14;2025-12-29T09:25:05;../fake-data/blob/hipster.txt;exhausted gah negligible;2025-12-29T11:14:48
9;pessimistic;QR_CODE;fooey;eek disk while;TOP_RIGHT;6;23772;gold;8052;false;demobilise hyphenation rationalise;sweetly;PENDING;2025-12-29T14:27:55;2025-12-29T12:32:38;../fake-data/blob/hipster.txt;unless unless;2025-12-29T15:01:46
10;into;IMAGE;clinking;defiantly before;BOTTOM_CENTER;42;25930;gold;27066;true;rubric storyboard swine;modulo tough sans;PROCESSING;2025-12-30T05:55:45;2025-12-30T05:33:38;../fake-data/blob/hipster.txt;quarrelsomely;2025-12-29T15:09:15
