id;assignee_id;status;action;comment;assigned_date;due_date;completed_date;reminder_sent;delegated_to;delegated_date
1;upliftingly;CANCELLED;REJECT;../fake-data/blob/hipster.txt;2025-12-29T20:22:22;2025-12-29T13:16:57;2025-12-30T03:23:54;false;catalog who;2025-12-29T12:16:46
2;reiterate how little;DELEGATED;REJECT;../fake-data/blob/hipster.txt;2025-12-29T16:47:08;2025-12-30T05:30:09;2025-12-29T15:40:25;true;outflank meh experience;2025-12-29T23:48:10
3;weary until;CANCELLED;CANCEL;../fake-data/blob/hipster.txt;2025-12-30T04:42:54;2025-12-30T01:03:23;2025-12-29T13:08:32;false;which;2025-12-30T01:18:12
4;singe claw;COMPLETED;REQUEST_CHANGES;../fake-data/blob/hipster.txt;2025-12-29T23:27:43;2025-12-29T17:14:37;2025-12-29T10:32:24;true;around forsaken;2025-12-29T16:50:44
5;yahoo hence;IN_PROGRESS;COMMENT;../fake-data/blob/hipster.txt;2025-12-29T06:47:48;2025-12-29T23:43:04;2025-12-29T20:27:56;true;beyond hmph;2025-12-29T23:31:11
6;boiling;COMPLETED;REJECT;../fake-data/blob/hipster.txt;2025-12-29T17:10:30;2025-12-29T15:09:15;2025-12-29T18:16:04;true;readmit;2025-12-29T20:41:00
7;considering qua whoever;OVERDUE;REJECT;../fake-data/blob/hipster.txt;2025-12-29T18:24:28;2025-12-30T02:43:28;2025-12-29T14:51:52;false;er though rough;2025-12-30T04:14:34
8;publicity pillbox;DELEGATED;COMMENT;../fake-data/blob/hipster.txt;2025-12-29T23:44:28;2025-12-29T09:40:54;2025-12-29T10:22:55;true;pushy;2025-12-29T16:00:39
9;noisily as;PENDING;APPROVE;../fake-data/blob/hipster.txt;2025-12-30T01:35:53;2025-12-29T16:47:30;2025-12-29T13:15:16;true;cope;2025-12-30T06:03:20
10;dead whoever;PENDING;COMMENT;../fake-data/blob/hipster.txt;2025-12-29T20:26:32;2025-12-29T23:13:45;2025-12-30T02:14:24;true;yearningly;2025-12-29T09:43:08
