id;name;description;alert_type;conditions;severity;recipients;is_active;trigger_count;last_triggered;created_by;created_date
1;cauliflower anenst geez;../fake-data/blob/hipster.txt;HIGH_ERROR_RATE;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;false;13736;2025-12-24T16:05:21;abnormally around;2025-12-24T10:41:06
2;frantically gently;../fake-data/blob/hipster.txt;PERMISSION_CHANGED;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;false;17222;2025-12-25T01:06:16;stock oof;2025-12-24T22:09:45
3;yahoo meanwhile;../fake-data/blob/hipster.txt;MISSING_METADATA;../fake-data/blob/hipster.txt;CRITICAL;../fake-data/blob/hipster.txt;true;16202;2025-12-24T16:42:31;along whereas;2025-12-24T22:39:11
4;blank truthfully phooey;../fake-data/blob/hipster.txt;STORAGE_QUOTA;../fake-data/blob/hipster.txt;CRITICAL;../fake-data/blob/hipster.txt;false;13531;2025-12-24T15:32:56;with reproach;2025-12-25T01:16:55
5;cash;../fake-data/blob/hipster.txt;COMPLIANCE_VIOLATION;../fake-data/blob/hipster.txt;MEDIUM;../fake-data/blob/hipster.txt;true;32252;2025-12-24T10:28:36;maintainer;2025-12-25T01:06:15
6;ew readies;../fake-data/blob/hipster.txt;STORAGE_QUOTA;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;true;31435;2025-12-24T10:49:17;how;2025-12-24T10:49:39
7;huzzah;../fake-data/blob/hipster.txt;PERMISSION_CHANGED;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;true;7418;2025-12-24T21:21:19;since;2025-12-24T15:56:27
8;against even gah;../fake-data/blob/hipster.txt;UNUSUAL_ACTIVITY;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;true;7011;2025-12-24T20:38:05;ha aha;2025-12-24T22:12:36
9;slipper;../fake-data/blob/hipster.txt;SERVICE_DOWN;../fake-data/blob/hipster.txt;MEDIUM;../fake-data/blob/hipster.txt;true;26248;2025-12-25T06:41:12;dime;2025-12-24T12:15:33
10;integer distorted lustrous;../fake-data/blob/hipster.txt;UNUSUAL_ACTIVITY;../fake-data/blob/hipster.txt;LOW;../fake-data/blob/hipster.txt;false;14175;2025-12-25T05:16:15;like angrily;2025-12-24T20:16:16
