id;document_id;user_id;watch_type;notify_on_view;notify_on_download;notify_on_modify;notify_on_share;notify_on_delete;created_date
1;1527;ugh;AUDITOR;true;true;false;false;false;2025-12-25T04:50:29
2;4394;onto exaggerate kissingly;AUTHOR;false;true;false;false;false;2025-12-24T16:57:26
3;1434;government where mmm;STAKEHOLDER;false;false;false;true;true;2025-12-24T15:21:19
4;32530;lovingly overdub;CUSTOM;true;true;true;false;true;2025-12-24T20:34:05
5;3306;bah lest;AUTHOR;false;true;false;false;false;2025-12-24T13:01:25
6;19130;hard-to-find embarrassment regarding;STAKEHOLDER;false;false;false;false;true;2025-12-25T01:09:20
7;32337;if gratefully blond;CUSTOM;false;false;false;true;false;2025-12-24T18:59:26
8;10497;aw iridescence meatloaf;REVIEWER;false;false;true;true;true;2025-12-24T10:38:34
9;11057;meanwhile nifty;CUSTOM;true;true;false;false;true;2025-12-25T09:08:26
10;30991;reassuringly;AUTHOR;true;true;false;false;true;2025-12-24T23:56:20
