id;name;description;task_type;schedule;status;is_active;last_run;next_run;duration;records_processed;created_by;created_date
1;realistic;../fake-data/blob/hipster.txt;VACUUM_DATABASE;than;COMPLETED;false;2025-12-24T23:04:56;2025-12-25T04:59:39;27576;6317;brr beyond cricket;2025-12-25T05:11:15
2;scratchy rebuff meh;../fake-data/blob/hipster.txt;CLEANUP_DELETED;delectable uh-huh;PROCESSING;false;2025-12-24T11:56:28;2025-12-24T13:56:49;26898;4546;brr;2025-12-24T10:39:46
3;delirious;../fake-data/blob/hipster.txt;VACUUM_DATABASE;quart;CANCELLED;false;2025-12-24T20:19:33;2025-12-25T10:17:13;30803;12993;vary stitcher;2025-12-24T21:07:50
4;consequently grumpy;../fake-data/blob/hipster.txt;PRUNE_AUDIT_LOGS;underplay;FAILED;true;2025-12-24T18:56:41;2025-12-25T01:07:47;30447;14488;against woot digit;2025-12-25T00:33:09
5;slump;../fake-data/blob/hipster.txt;OPTIMIZE_STORAGE;worriedly;CANCELLED;true;2025-12-24T12:50:47;2025-12-25T07:15:44;11551;29338;sunny between;2025-12-25T09:17:54
6;delicious around;../fake-data/blob/hipster.txt;VACUUM_DATABASE;after serenade hopelessly;COMPLETED;false;2025-12-25T04:56:16;2025-12-24T17:03:02;9783;4840;somber;2025-12-25T06:12:10
7;castanet absentmindedly;../fake-data/blob/hipster.txt;REBUILD_INDEX;minority;PROCESSING;true;2025-12-24T14:49:22;2025-12-24T13:38:32;3662;15330;kiddingly;2025-12-25T01:53:38
8;really usable;../fake-data/blob/hipster.txt;VACUUM_DATABASE;eek;FAILED;false;2025-12-25T10:18:49;2025-12-25T08:40:37;30343;26602;noisily round;2025-12-25T08:56:57
9;afterwards;../fake-data/blob/hipster.txt;OPTIMIZE_STORAGE;closely standard attraction;CANCELLED;true;2025-12-24T14:28:00;2025-12-24T14:21:13;26718;23363;pasta napkin;2025-12-25T09:15:31
10;yum authentic display;../fake-data/blob/hipster.txt;PRUNE_AUDIT_LOGS;yippee;FAILED;false;2025-12-25T07:05:11;2025-12-24T22:38:48;11170;31137;red advancement;2025-12-25T01:36:18
