id;document_sha_256;user_id;watch_type;notify_on_view;notify_on_download;notify_on_modify;notify_on_share;notify_on_delete;created_date
1;revoke alongside;nephew always;CUSTOM;true;false;false;true;false;2025-12-29T12:21:10
2;hmph ah hourly;fax indeed monthly;AUTHOR;false;true;false;true;false;2025-12-30T02:28:20
3;polished er;hole madly;AUTHOR;true;true;true;true;true;2025-12-29T11:05:01
4;with healthily elegant;whoever yum;STAKEHOLDER;false;true;false;false;false;2025-12-29T20:27:30
5;vastly hm;considering daily;AUDITOR;false;false;true;false;false;2025-12-30T04:33:58
6;jell yawningly huddle;rudely sit;AUDITOR;true;false;true;true;false;2025-12-29T11:17:37
7;glisten;hence;REVIEWER;false;false;true;true;true;2025-12-29T10:48:56
8;cash roundabout;destock;STAKEHOLDER;false;true;true;true;false;2025-12-30T03:32:13
9;ferociously;concerning via who;AUTHOR;true;true;false;true;true;2025-12-29T16:54:39
10;generously tragic supposing;ack woot;REVIEWER;false;true;true;false;true;2025-12-29T11:21:44
