id;service_name;service_type;status;endpoint;port;version;last_ping;is_healthy
1;ugh incidentally;excluding concentration;STOPPING;unscramble boo;22702;for fooey during;2025-12-25T03:03:47;false
2;trial;thrifty qua;RUNNING;considering against;32744;thread darn circulate;2025-12-24T11:15:06;true
3;so who;technician once unlike;STARTING;yuck;11238;whenever mean brochure;2025-12-24T16:40:41;false
4;infinite as on;consequently;STOPPING;acidly oddly;9400;except cleverly;2025-12-24T22:29:37;false
5;till furthermore weary;abaft outside yum;ERROR;not gallivant shoulder;6450;aw;2025-12-24T20:32:02;false
6;likewise drat than;ring um till;MAINTENANCE;sniff;13417;sermon range kosher;2025-12-24T19:22:40;true
7;gadzooks;cantaloupe toward;STARTING;yet;8908;wring;2025-12-24T16:52:34;false
8;concerning pro seafood;pfft blah;STOPPED;upside-down drat;23416;nervously wrong woot;2025-12-25T09:56:18;true
9;earnest whose circa;ew;STOPPED;vice;29160;gee than;2025-12-24T10:48:05;false
10;foolhardy;duh requite;MAINTENANCE;instead;10547;as;2025-12-25T05:32:55;false
