id;title;message;type;priority;recipient_id;is_read;read_date;channel;related_entity_type;related_entity_id;action_url;metadata;expiration_date;sent_date;created_date
1;inasmuch um apparatus;../fake-data/blob/hipster.txt;OCR_COMPLETED;HIGH;sneaky splosh;true;2025-12-08T13:54:07;PUSH;self-confidence repentant ultimately;6470;warp;../fake-data/blob/hipster.txt;2025-12-08T12:55:03;2025-12-08T00:05:50;2025-12-08T13:21:27
2;brr gosh;../fake-data/blob/hipster.txt;CUSTOM;URGENT;lest among;false;2025-12-08T14:55:47;IN_APP;behind gah sharply;2967;bandwidth blossom;../fake-data/blob/hipster.txt;2025-12-08T17:46:19;2025-12-08T00:49:51;2025-12-08T04:09:22
3;nor excepting;../fake-data/blob/hipster.txt;WORKFLOW_REJECTED;URGENT;card stigmatize which;false;2025-12-08T05:37:18;EMAIL;uh-huh;30035;guard yuck;../fake-data/blob/hipster.txt;2025-12-08T11:16:57;2025-12-08T06:03:50;2025-12-08T07:39:12
4;frightened;../fake-data/blob/hipster.txt;CUSTOM;NORMAL;barring judicious vivaciously;true;2025-12-07T20:00:58;EMAIL;as fooey;11142;cornet;../fake-data/blob/hipster.txt;2025-12-08T11:47:17;2025-12-08T17:56:35;2025-12-07T19:01:12
5;fishery;../fake-data/blob/hipster.txt;CUSTOM;HIGH;afore yahoo;true;2025-12-08T07:56:45;SMS;calmly gasp;1832;meanwhile;../fake-data/blob/hipster.txt;2025-12-08T11:38:24;2025-12-08T15:04:33;2025-12-08T05:16:21
6;tusk until;../fake-data/blob/hipster.txt;WORKFLOW_ASSIGNED;NORMAL;worth;true;2025-12-08T04:02:45;WEBHOOK;governance intensely;14440;before fiercely;../fake-data/blob/hipster.txt;2025-12-08T16:15:15;2025-12-08T13:46:34;2025-12-08T11:49:04
7;hastily;../fake-data/blob/hipster.txt;DOCUMENT_PROCESSED;LOW;meh which hastily;false;2025-12-08T06:41:48;PUSH;under inexperienced;12636;vice now;../fake-data/blob/hipster.txt;2025-12-08T13:54:51;2025-12-08T09:50:58;2025-12-08T13:42:22
8;unlawful considering;../fake-data/blob/hipster.txt;DOCUMENT_UPLOADED;LOW;because unwritten shadowbox;true;2025-12-08T15:15:18;IN_APP;now;15904;louse tenderly against;../fake-data/blob/hipster.txt;2025-12-08T14:43:47;2025-12-08T18:04:31;2025-12-08T10:21:48
9;boom bony above;../fake-data/blob/hipster.txt;WORKFLOW_COMPLETED;LOW;hmph;true;2025-12-08T09:12:15;EMAIL;lest wire;5827;in brr within;../fake-data/blob/hipster.txt;2025-12-08T00:59:45;2025-12-08T12:43:48;2025-12-08T16:33:26
10;gadzooks lender shrilly;../fake-data/blob/hipster.txt;WORKFLOW_ASSIGNED;URGENT;beneath naturally;true;2025-12-08T05:41:00;IN_APP;velvety softly exhausted;1043;including government;../fake-data/blob/hipster.txt;2025-12-08T14:51:21;2025-12-08T12:29:07;2025-12-08T13:32:06
