id;event_type;entity_type;entity_name;user_id;event_data;event_date;processed;processed_date
1;brace airbus;once boo quietly;fork memorise;yuck scorn;../fake-data/blob/hipster.txt;2025-12-30T06:23:23;true;2025-12-30T02:15:55
2;ceramic murky swat;cross-contamination robust;although once jaggedly;meh taxicab;../fake-data/blob/hipster.txt;2025-12-29T13:07:42;false;2025-12-29T17:35:46
3;from;meager symbolise archaeology;ouch;lazy;../fake-data/blob/hipster.txt;2025-12-29T13:53:13;true;2025-12-30T04:40:24
4;our indelible awkwardly;anenst aw;yippee nightlife versus;apud bravely;../fake-data/blob/hipster.txt;2025-12-29T17:13:07;false;2025-12-29T15:03:21
5;state up;lone;fooey till provided;while;../fake-data/blob/hipster.txt;2025-12-29T16:45:45;false;2025-12-30T03:55:14
6;cheerfully whoever;fooey;that following;deed nice pilot;../fake-data/blob/hipster.txt;2025-12-29T10:16:55;false;2025-12-29T13:10:14
7;ditch;vague awkwardly;hm beneath;ham upright scrabble;../fake-data/blob/hipster.txt;2025-12-30T05:31:02;true;2025-12-29T15:46:07
8;whenever solidly;regarding wherever;beside shampoo at;mount flight;../fake-data/blob/hipster.txt;2025-12-29T10:32:44;true;2025-12-29T19:36:08
9;amongst because dwell;underneath;cram inferior;muscat rightfully quirkily;../fake-data/blob/hipster.txt;2025-12-29T15:04:11;true;2025-12-29T19:47:46
10;for;pliers;of than on;now tightly;../fake-data/blob/hipster.txt;2025-12-29T18:53:38;false;2025-12-29T13:52:58
