id;name;subject;body_template;type;channel;variables;is_active;created_date;last_modified_date
1;fairly sun tabletop;meh until;../fake-data/blob/hipster.txt;WORKFLOW_COMPLETED;EMAIL;../fake-data/blob/hipster.txt;false;2025-12-24T19:08:55;2025-12-24T21:09:13
2;innocent jubilant tight;knickers partially;../fake-data/blob/hipster.txt;CUSTOM;WEBHOOK;../fake-data/blob/hipster.txt;false;2025-12-24T19:43:02;2025-12-24T23:17:02
3;aw staid;dramatic;../fake-data/blob/hipster.txt;AI_TAG_SUGGESTED;IN_APP;../fake-data/blob/hipster.txt;true;2025-12-24T12:20:44;2025-12-25T04:12:02
4;commodity onto including;quip;../fake-data/blob/hipster.txt;AI_TAG_SUGGESTED;WEBHOOK;../fake-data/blob/hipster.txt;false;2025-12-25T02:18:48;2025-12-25T10:00:31
5;in insecure;usable uncork irresponsible;../fake-data/blob/hipster.txt;DOCUMENT_UPLOADED;WEBHOOK;../fake-data/blob/hipster.txt;false;2025-12-24T20:12:07;2025-12-24T11:11:13
6;orange which;ouch screw yearly;../fake-data/blob/hipster.txt;SYSTEM_ALERT;EMAIL;../fake-data/blob/hipster.txt;true;2025-12-25T03:01:58;2025-12-24T17:51:49
7;gadzooks expensive;gosh transplant defiantly;../fake-data/blob/hipster.txt;WORKFLOW_COMPLETED;EMAIL;../fake-data/blob/hipster.txt;false;2025-12-24T21:38:53;2025-12-25T02:48:42
8;commonly;free but;../fake-data/blob/hipster.txt;OCR_COMPLETED;PUSH;../fake-data/blob/hipster.txt;true;2025-12-24T18:29:52;2025-12-24T14:57:01
9;amid;even;../fake-data/blob/hipster.txt;AI_TAG_SUGGESTED;SMS;../fake-data/blob/hipster.txt;false;2025-12-24T12:12:31;2025-12-24T13:51:55
10;although newsprint;righteously;../fake-data/blob/hipster.txt;WORKFLOW_APPROVED;EMAIL;../fake-data/blob/hipster.txt;true;2025-12-24T16:09:20;2025-12-25T04:29:56
